https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZEC
1639180800000,2021-12-11 00:00:00,ZEC/USD,169.857983,182.08,166.970001,178.813452,460098.05675576086,2573.06176694
1639094400000,2021-12-10 00:00:00,ZEC/USD,173.780379,184.996994,169.3376,169.971054,489874.60846165655,2882.10608179
1639008000000,2021-12-09 00:00:00,ZEC/USD,188.254781,196.099118,171.440001,174.283844,582482.2073133868,3342.14689064
1638921600000,2021-12-08 00:00:00,ZEC/USD,184.517914,191.602,176.792323,187.970214,498979.8087181473,2654.56849838
1638835200000,2021-12-07 00:00:00,ZEC/USD,190.492951,195.46567,181.380702,184.634146,514819.8900759112,2788.32437677
1638748800000,2021-12-06 00:00:00,ZEC/USD,193.73439,195.31,171.000001,191.45036,628714.2060980625,3283.9541597
1638662400000,2021-12-05 00:00:00,ZEC/USD,198.856124,205.179757,180.633601,193.539311,594867.905188149,3073.62830897
1638576000000,2021-12-04 00:00:00,ZEC/USD,216.299434,216.572248,158.579,199.379834,865649.6812745782,4341.71131507
1638489600000,2021-12-03 00:00:00,ZEC/USD,232.657216,244.387773,212.0,215.88474,872819.1175144269,4042.98663034
1638403200000,2021-12-02 00:00:00,ZEC/USD,235.602328,237.088192,221.8623,232.797002,952896.0832104661,4093.24894661
1638316800000,2021-12-01 00:00:00,ZEC/USD,226.270972,252.022202,221.151,235.911123,1066772.7109546615,4521.92629745
1638230400000,2021-11-30 00:00:00,ZEC/USD,254.188821,255.112941,220.418884,226.138658,1226043.7142098807,5421.64583912
1638144000000,2021-11-29 00:00:00,ZEC/USD,252.52008,263.094489,248.0,254.082296,1145752.7364752956,4509.37650719
1638057600000,2021-11-28 00:00:00,ZEC/USD,255.980857,255.980857,228.43748,253.0,1351936.63937662,5343.62308054
1637971200000,2021-11-27 00:00:00,ZEC/USD,258.457136,284.799999,252.373,255.838963,1444564.2703244027,5646.38104136
