https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WAVES
1651104000000,2022-04-28 00:00:00,WAVES/USD,17.87515,18.8,16.044704,16.325662,1122897.3338497735,68781.12102589
1651017600000,2022-04-27 00:00:00,WAVES/USD,16.900145,18.568117,16.458225,17.876041,1195877.6884230059,66898.35229305
1650931200000,2022-04-26 00:00:00,WAVES/USD,18.608154,19.344069,16.644445,16.906331,1181110.7256410674,69862.03722387
1650844800000,2022-04-25 00:00:00,WAVES/USD,19.410589,19.410589,17.619201,18.596701,1306266.1377465094,70241.82072651
1650758400000,2022-04-24 00:00:00,WAVES/USD,20.589811,20.600199,20.532189,20.532189,24437.25603144034,1190.19243547
1650672000000,2022-04-23 00:00:00,WAVES/USD,20.95,21.05232,20.222894,20.594065,1235638.258069517,59999.72604095
1650585600000,2022-04-22 00:00:00,WAVES/USD,20.926328,21.443792,20.596798,20.960792,1366036.357720706,65171.0277799
1650412800000,2022-04-20 00:00:00,WAVES/USD,22.994046,23.019487,22.46253,22.675661,60505.70410536715,2668.31048962
1650326400000,2022-04-19 00:00:00,WAVES/USD,22.158276,23.140583,21.828141,23.003199,1582404.0730960576,68790.60921466
1650240000000,2022-04-18 00:00:00,WAVES/USD,21.686604,22.249987,20.55657,22.157783,1502755.8749347748,67820.67840157
1650153600000,2022-04-17 00:00:00,WAVES/USD,23.273983,23.367937,21.600002,21.729778,1382681.741901651,63630.73483317
1650067200000,2022-04-16 00:00:00,WAVES/USD,23.950207,24.865505,22.650001,23.2556,1603482.5186667363,68950.38264619
1649980800000,2022-04-15 00:00:00,WAVES/USD,22.931959,24.277117,22.255034,23.977131,1735996.2400658457,72402.16688418
1649894400000,2022-04-14 00:00:00,WAVES/USD,23.308085,24.995983,22.340317,22.96571,1570901.8197489206,68402.05766549
1649808000000,2022-04-13 00:00:00,WAVES/USD,23.92624,24.274038,21.959015,23.444832,1672381.2294439424,71332.61733093
1649721600000,2022-04-12 00:00:00,WAVES/USD,25.518692,26.2657,23.333333,23.930183,1810726.3517871122,75667.04992549
1649635200000,2022-04-11 00:00:00,WAVES/USD,25.027927,25.7066,22.720483,25.418913,1897964.1976497814,74667.40208953
1649548800000,2022-04-10 00:00:00,WAVES/USD,26.354925,27.139598,25.771007,27.062671,76189.91180041965,2815.31382473
1649462400000,2022-04-09 00:00:00,WAVES/USD,28.0327,28.219068,25.2897,26.442737,1826821.5444373677,69085.94766258
1649376000000,2022-04-08 00:00:00,WAVES/USD,32.155364,32.989495,27.500001,28.07878,1929318.4996691153,68710.90908042
1649289600000,2022-04-07 00:00:00,WAVES/USD,30.354435,32.739192,29.334702,32.131701,2395112.4869326963,74540.48221514
1649203200000,2022-04-06 00:00:00,WAVES/USD,31.519476,33.162072,28.7,30.219879,2458985.3971318244,81369.79625669
1649116800000,2022-04-05 00:00:00,WAVES/USD,35.856731,36.907815,30.463092,31.643244,2304819.874947739,72837.66085891
1649030400000,2022-04-04 00:00:00,WAVES/USD,48.309052,48.508527,34.22,35.80717,2901120.346749642,81020.65443177
1648944000000,2022-04-03 00:00:00,WAVES/USD,50.304869,55.109919,45.806,48.301929,3697504.8115586843,76549.8374104
1648857600000,2022-04-02 00:00:00,WAVES/USD,54.031791,56.250866,49.413439,50.401955,3524245.577905686,69922.7952151
1648771200000,2022-04-01 00:00:00,WAVES/USD,55.647356,59.459999,52.5,53.949935,4001446.0280742664,74169.61722149
1648684800000,2022-03-31 00:00:00,WAVES/USD,53.017786,65.0,49.8735,55.778446,4218593.762530799,75631.25302076
1648598400000,2022-03-30 00:00:00,WAVES/USD,51.407178,62.0807,50.416953,53.1096,4146286.921060678,78070.38503511
1648512000000,2022-03-29 00:00:00,WAVES/USD,43.975701,55.798094,43.975701,51.338391,4200778.141423164,81825.27850207
1648425600000,2022-03-28 00:00:00,WAVES/USD,33.533957,45.9538,31.494562,44.017328,3720377.097977675,84520.73915022
1648339200000,2022-03-27 00:00:00,WAVES/USD,33.842298,33.842298,32.278404,33.537561,2147473.3813851736,64031.88894342
1648252800000,2022-03-26 00:00:00,WAVES/USD,32.243957,34.677698,32.137211,33.834642,2161412.405399924,63881.6395752
1648166400000,2022-03-25 00:00:00,WAVES/USD,32.446542,32.962076,31.436533,32.337846,2024450.819181334,62603.14367201
1648080000000,2022-03-24 00:00:00,WAVES/USD,33.243199,33.835,31.257103,32.467665,2191379.974350567,67494.22769856
1647993600000,2022-03-23 00:00:00,WAVES/USD,33.820028,34.1,32.966475,33.292487,2245770.346470168,67455.77002013
1647907200000,2022-03-22 00:00:00,WAVES/USD,33.713427,36.16,33.201518,33.824622,2320433.896433124,68601.91656933
1647820800000,2022-03-21 00:00:00,WAVES/USD,33.651153,35.000999,32.317136,33.766635,2301688.7507160925,68164.58763854
1647734400000,2022-03-20 00:00:00,WAVES/USD,33.720877,35.317227,32.6966,33.718409,2281071.265537256,67650.6197412
1647648000000,2022-03-19 00:00:00,WAVES/USD,34.144677,35.9715,33.3854,33.740343,2390952.083400925,70863.3010459
1647561600000,2022-03-18 00:00:00,WAVES/USD,29.611814,34.48,29.542962,34.133241,2540382.0662672673,74425.45717435
1647475200000,2022-03-17 00:00:00,WAVES/USD,29.961921,30.3422,28.771764,29.596294,1988802.2881869006,67197.67982393
1647388800000,2022-03-16 00:00:00,WAVES/USD,29.56343,33.131482,29.0,30.02325,2445199.8394395327,81443.54256916
1647302400000,2022-03-15 00:00:00,WAVES/USD,27.974556,29.56343,26.922389,29.5,1985448.2055138648,67303.32900047
1647216000000,2022-03-14 00:00:00,WAVES/USD,28.001067,28.8668,26.762605,28.0,1824711.3626170799,65168.26295061
1647129600000,2022-03-13 00:00:00,WAVES/USD,28.428964,30.232323,27.4492,28.2556,1934605.355350014,68468.03307486
1647043200000,2022-03-12 00:00:00,WAVES/USD,26.913603,29.266283,26.104416,28.26275,1931994.825667863,68358.34537219
1646956800000,2022-03-11 00:00:00,WAVES/USD,28.950746,29.980018,26.7638,26.830534,1783259.333462732,66463.80327215
1646870400000,2022-03-10 00:00:00,WAVES/USD,29.8,32.25,27.439735,28.901875,2130107.803387924,73701.37070304
1646784000000,2022-03-09 00:00:00,WAVES/USD,23.68093,30.3,22.7085,29.761216,2539814.0818103002,85339.72811495
1646697600000,2022-03-08 00:00:00,WAVES/USD,23.91,25.853166,23.21,23.683556,1851708.2235776763,78185.39680349
1646611200000,2022-03-07 00:00:00,WAVES/USD,19.177523,24.567137,19.028649,23.926002,1865265.2767040841,77959.75594686
1646524800000,2022-03-06 00:00:00,WAVES/USD,18.366526,20.756798,18.049365,19.164964,1364103.9681809114,71176.96480833
1646438400000,2022-03-05 00:00:00,WAVES/USD,19.561954,19.981101,17.913054,18.353755,1258455.0293230542,68566.62461295
1646352000000,2022-03-04 00:00:00,WAVES/USD,19.22728,22.0695,18.578991,19.553896,1510775.5950995435,77262.126949
1646265600000,2022-03-03 00:00:00,WAVES/USD,18.682252,20.5,18.1212,19.222805,1552862.4004712582,80782.30000623
1646179200000,2022-03-02 00:00:00,WAVES/USD,18.108495,18.21581,17.694939,17.698868,20398.19117524157,1152.51388819
1646092800000,2022-03-01 00:00:00,WAVES/USD,16.85083,20.5,16.6764,18.047944,1480892.3940182566,82053.24628768
1646006400000,2022-02-28 00:00:00,WAVES/USD,11.56268,17.038528,11.478309,16.777012,1309403.0618248708,78047.45337399
1645920000000,2022-02-27 00:00:00,WAVES/USD,12.612614,13.7673,11.414535,11.546062,806623.4487759387,69861.34742529
1645833600000,2022-02-26 00:00:00,WAVES/USD,10.890163,13.1736,10.750517,12.568725,928457.4240468593,73870.45416674
1645747200000,2022-02-25 00:00:00,WAVES/USD,9.77635,10.98364,9.503732,10.853442,817229.8772363224,75296.83921804
1645660800000,2022-02-24 00:00:00,WAVES/USD,9.557483,9.957656,8.685136,9.821001,868638.1159491029,88447.00412403
1645574400000,2022-02-23 00:00:00,WAVES/USD,9.251669,10.707463,9.213767,9.568265,739152.0826650361,77250.37743677
1645488000000,2022-02-22 00:00:00,WAVES/USD,8.798716,9.386412,8.50961,9.258294,613913.7475346543,66309.59737665
1645401600000,2022-02-21 00:00:00,WAVES/USD,9.645224,10.745804,8.77,8.815177,687823.7458100829,78027.21894411
1645315200000,2022-02-20 00:00:00,WAVES/USD,9.940489,10.1,9.222406,9.631029,644401.2214662924,66908.86523821
1645228800000,2022-02-19 00:00:00,WAVES/USD,10.28237,10.352862,9.655565,9.942353,625728.3976235278,62935.64487436
1645142400000,2022-02-18 00:00:00,WAVES/USD,10.150173,10.465379,9.844826,10.274075,680968.1863937404,66280.24288257
1645056000000,2022-02-17 00:00:00,WAVES/USD,10.713676,11.340949,10.1268,10.152753,732966.5139948329,72193.86840149
1644969600000,2022-02-16 00:00:00,WAVES/USD,10.528465,11.09,10.29835,10.712617,736942.8887127333,68792.0504124
1644883200000,2022-02-15 00:00:00,WAVES/USD,9.540648,10.676348,9.540648,10.560521,671648.3035831223,63599.92121441
1644796800000,2022-02-14 00:00:00,WAVES/USD,9.573158,9.749533,9.216407,9.531063,611309.9980167247,64138.70079515
1644710400000,2022-02-13 00:00:00,WAVES/USD,9.727742,9.824374,9.284278,9.575778,642485.1763772875,67094.82784347
1644624000000,2022-02-12 00:00:00,WAVES/USD,9.968194,10.06842,9.492578,9.721666,641093.4774059769,65944.81618747
1644537600000,2022-02-11 00:00:00,WAVES/USD,11.086015,11.115655,9.824433,9.962717,696452.558068196,69905.8859213
1644451200000,2022-02-10 00:00:00,WAVES/USD,12.064803,12.2588,11.055628,11.085899,803119.522754887,72445.14159428
1644364800000,2022-02-09 00:00:00,WAVES/USD,10.662191,12.3222,10.241523,12.117585,916571.8689555213,75639.81345751
1644278400000,2022-02-08 00:00:00,WAVES/USD,11.211157,11.222086,10.17022,10.635276,742878.8066474877,69850.44926408
1644192000000,2022-02-07 00:00:00,WAVES/USD,10.649765,11.557051,10.51996,11.208709,801238.1620759752,71483.53678162
1644105600000,2022-02-06 00:00:00,WAVES/USD,10.174815,10.74,10.110421,10.696331,703457.9244044429,65766.28232657
1644019200000,2022-02-05 00:00:00,WAVES/USD,9.4826,10.6206,9.3901,10.179233,703653.3792912037,69126.36534513
1643932800000,2022-02-04 00:00:00,WAVES/USD,8.932194,9.5,8.859141,9.5,641866.8291792551,67564.92938729
1643846400000,2022-02-03 00:00:00,WAVES/USD,8.908195,8.949801,8.484438,8.949801,614488.4136471704,68659.44993047
1643760000000,2022-02-02 00:00:00,WAVES/USD,9.225798,9.33106,8.698415,8.911266,605316.7035667975,67927.12770181
