https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XEM
1642377600000,2022-01-17 00:00:00,XEM/USD,0.1200772,0.12082773,0.11031487,0.11614331,44235.33585926126,380868.56538927
1642291200000,2022-01-16 00:00:00,XEM/USD,0.11982437,0.12291099,0.1178,0.12013882,47356.11836369742,394178.32107638
1642204800000,2022-01-15 00:00:00,XEM/USD,0.12026407,0.12224699,0.11938,0.11976496,46065.658835761555,384633.85981811
1642118400000,2022-01-14 00:00:00,XEM/USD,0.11624063,0.1220384,0.11531208,0.12019602,49387.87506726895,410894.42950997
1642032000000,2022-01-13 00:00:00,XEM/USD,0.12071073,0.122824,0.11589819,0.11613121,47193.2270922625,406378.50145764
1641945600000,2022-01-12 00:00:00,XEM/USD,0.11594465,0.1219,0.11545044,0.12063439,50723.543682541655,420473.33005573
1641859200000,2022-01-11 00:00:00,XEM/USD,0.11346564,0.11640183,0.11114224,0.11592547,43021.294805217876,371111.67032765
1641772800000,2022-01-10 00:00:00,XEM/USD,0.11665307,0.11895262,0.106806,0.11306461,44139.05947693301,390387.93373924
1641686400000,2022-01-09 00:00:00,XEM/USD,0.11536111,0.119729,0.113,0.11689151,46551.58604634523,398246.08345247
1641600000000,2022-01-08 00:00:00,XEM/USD,0.11804629,0.122878,0.11106728,0.11597454,49384.89872381948,425825.34687199
1641513600000,2022-01-07 00:00:00,XEM/USD,0.12400526,0.124568,0.11000001,0.11791873,61275.5120378484,519641.89266496
1641427200000,2022-01-06 00:00:00,XEM/USD,0.13049934,0.13088408,0.1184859,0.12410348,66428.30095197186,535265.41682773
1641340800000,2022-01-05 00:00:00,XEM/USD,0.12587498,0.14179608,0.12078716,0.13064265,77067.18854058799,589908.3380549
1641254400000,2022-01-04 00:00:00,XEM/USD,0.12793182,0.12952448,0.12504919,0.12536396,48077.15470093282,383500.60656135
1641168000000,2022-01-03 00:00:00,XEM/USD,0.13132119,0.1325,0.12561989,0.12778565,51432.75451663315,402492.41222808
1641081600000,2022-01-02 00:00:00,XEM/USD,0.12723515,0.133864,0.12571091,0.13150288,59378.601317713255,451538.40978778
1640995200000,2022-01-01 00:00:00,XEM/USD,0.12488204,0.1291,0.12355623,0.12792178,45992.43601460315,359535.61633213
1640908800000,2021-12-31 00:00:00,XEM/USD,0.12671748,0.12869,0.1204671,0.12461779,50511.24819762192,405329.35303717
1640822400000,2021-12-30 00:00:00,XEM/USD,0.1249784,0.1287,0.12261605,0.12660704,52641.93806288257,415789.97552492
1640736000000,2021-12-29 00:00:00,XEM/USD,0.12960842,0.13184647,0.123268,0.12491575,50741.65748045432,406207.04339088
1640649600000,2021-12-28 00:00:00,XEM/USD,0.13956723,0.13983026,0.1287882,0.12953495,54655.77974171114,421938.47870178
1640563200000,2021-12-27 00:00:00,XEM/USD,0.14189277,0.14479998,0.13935372,0.13970279,51845.0727955692,371109.7881121
1640476800000,2021-12-26 00:00:00,XEM/USD,0.13961711,0.1432611,0.138,0.14166543,60843.047696514455,429484.08582471
1640390400000,2021-12-25 00:00:00,XEM/USD,0.13695085,0.1555,0.13555,0.14104243,56256.37176068389,398861.3338602
1640304000000,2021-12-24 00:00:00,XEM/USD,0.13956666,0.14199999,0.13594482,0.13622612,48051.09623407209,352730.41788221
1640217600000,2021-12-23 00:00:00,XEM/USD,0.13505175,0.14,0.12880715,0.13935246,57822.590875412694,414937.7117233
1640131200000,2021-12-22 00:00:00,XEM/USD,0.13496923,0.1444,0.131,0.13436784,50654.88790071598,376986.69488708
1640044800000,2021-12-21 00:00:00,XEM/USD,0.12686661,0.13681654,0.126824,0.13529732,51194.61678459527,378386.03739228
1639958400000,2021-12-20 00:00:00,XEM/USD,0.13013786,0.13074902,0.123096,0.12686483,49277.38416983789,388424.31089718
1639872000000,2021-12-19 00:00:00,XEM/USD,0.1307493,0.13345197,0.12899299,0.13008238,45522.98456006175,349955.04049097
1639785600000,2021-12-18 00:00:00,XEM/USD,0.12902169,0.1325399,0.12626186,0.13071154,47795.77357445463,365658.4076238
1639699200000,2021-12-17 00:00:00,XEM/USD,0.13178515,0.13372457,0.124593,0.1290714,47555.7985680942,368445.67090846
1639612800000,2021-12-16 00:00:00,XEM/USD,0.13430918,0.13969722,0.130856,0.13193315,47416.26114604958,359396.1119404
1639526400000,2021-12-15 00:00:00,XEM/USD,0.13933863,0.14499998,0.13381807,0.13443208,53624.43042932139,398896.0851407
1639440000000,2021-12-14 00:00:00,XEM/USD,0.13648592,0.14499962,0.13211001,0.14022312,51713.58958966931,368795.02887733
1639353600000,2021-12-13 00:00:00,XEM/USD,0.14366102,0.16780755,0.12500001,0.13615663,50218.7503523913,368830.73819021
1639267200000,2021-12-12 00:00:00,XEM/USD,0.14411205,0.14552807,0.1409,0.14361131,55687.317282061835,387764.14811662
1639180800000,2021-12-11 00:00:00,XEM/USD,0.13729007,0.14422973,0.135302,0.14381512,52614.15670299105,365845.79356462
1639094400000,2021-12-10 00:00:00,XEM/USD,0.1392868,0.148466,0.13736987,0.13755917,51137.34015567915,371747.95512127
1639008000000,2021-12-09 00:00:00,XEM/USD,0.15083883,0.15190305,0.13887741,0.13970941,55511.98345205077,397338.90116672
1638921600000,2021-12-08 00:00:00,XEM/USD,0.14699317,0.15651221,0.1453524,0.15082865,65771.07727518839,436064.88074506
1638835200000,2021-12-07 00:00:00,XEM/USD,0.1436859,0.14831189,0.14204575,0.14673553,56415.22352597205,384468.73450467
1638748800000,2021-12-06 00:00:00,XEM/USD,0.13654516,0.14599998,0.1275,0.1440262,59814.12953328413,415300.33794743
1638662400000,2021-12-05 00:00:00,XEM/USD,0.14332411,0.147841,0.131046,0.13649675,55164.88912087287,404148.00440943
1638576000000,2021-12-04 00:00:00,XEM/USD,0.16765965,0.167795,0.12,0.14292668,79951.75340686223,559389.98517885
1638489600000,2021-12-03 00:00:00,XEM/USD,0.17299577,0.1759858,0.1655,0.16778139,64501.71137643372,384439.00945411
1638403200000,2021-12-02 00:00:00,XEM/USD,0.17379618,0.17578852,0.1685,0.17291289,62758.35692629437,362947.82260764
1638316800000,2021-12-01 00:00:00,XEM/USD,0.17606009,0.1787647,0.17246406,0.17382817,63175.52695118322,363436.6452295
1638230400000,2021-11-30 00:00:00,XEM/USD,0.17725229,0.18201044,0.17307281,0.17582446,62053.416983877934,352928.23867554
1638144000000,2021-11-29 00:00:00,XEM/USD,0.17532217,0.185,0.17300322,0.17722702,72124.95344176465,406963.64155852
1638057600000,2021-11-28 00:00:00,XEM/USD,0.17236155,0.174758,0.163878,0.174758,68268.05108434468,390643.35300441
1637971200000,2021-11-27 00:00:00,XEM/USD,0.16907447,0.17435404,0.16878759,0.17245735,62036.6427566173,359721.65150756
1637884800000,2021-11-26 00:00:00,XEM/USD,0.18004576,0.18412753,0.165,0.16885872,73806.23723966446,437088.69307824
1637798400000,2021-11-25 00:00:00,XEM/USD,0.17735181,0.18212,0.17677,0.17987828,73242.05102789485,407175.62469407
1637712000000,2021-11-24 00:00:00,XEM/USD,0.18065714,0.18584777,0.177,0.1773291,64476.47950117951,363597.84999292
1637625600000,2021-11-23 00:00:00,XEM/USD,0.17807848,0.18274943,0.176778,0.18070337,68510.38201621495,379131.73404688
1637539200000,2021-11-22 00:00:00,XEM/USD,0.18856309,0.18856309,0.176792,0.17812391,68328.93696452182,383603.39700898
1637452800000,2021-11-21 00:00:00,XEM/USD,0.18786716,0.19170921,0.185563,0.18833598,69534.89595920504,369206.64845456
1637366400000,2021-11-20 00:00:00,XEM/USD,0.18266601,0.1947899,0.18138258,0.18839002,73248.41491392291,388812.60755704
1637280000000,2021-11-19 00:00:00,XEM/USD,0.17776063,0.1934797,0.17567278,0.18270766,72565.14725736821,397165.32551163
