https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALGO,Volume USDT
1643673600,2022-02-01 00:00:00,ALGO/USDT,0.9498,0.994,0.9463,0.9661,6030201.88337248,5856148.595463704739
1643587200,2022-01-31 00:00:00,ALGO/USDT,0.9447,0.9704,0.9034,0.9497,4791277.56150544,4496078.681375067564
1643500800,2022-01-30 00:00:00,ALGO/USDT,0.969,0.989,0.9288,0.9447,4764383.34627629,4562276.249311482611
1643414400,2022-01-29 00:00:00,ALGO/USDT,0.9577,1.0068,0.9547,0.9694,5644359.73467315,5524286.365877649883
1643328000,2022-01-28 00:00:00,ALGO/USDT,0.9362,0.9853,0.9208,0.9577,7106932.0339391,6759797.998629005556
1643241600,2022-01-27 00:00:00,ALGO/USDT,0.923,0.9571,0.8769,0.9377,6939540.90933363,6344249.379050248625
1643155200,2022-01-26 00:00:00,ALGO/USDT,0.921,0.9953,0.8925,0.9218,8598425.53719702,8103416.916337764787
1643068800,2022-01-25 00:00:00,ALGO/USDT,0.9124,0.95,0.8671,0.9202,8780861.03504729,7912326.513325075748
1642982400,2022-01-24 00:00:00,ALGO/USDT,0.9885,0.989,0.8174,0.9122,9624438.6256191,8567853.479671030358
1642896000,2022-01-23 00:00:00,ALGO/USDT,0.9506,1.0054,0.925,0.9893,5999789.59544291,5793763.747951051654
1642809600,2022-01-22 00:00:00,ALGO/USDT,1.03,1.0619,0.7938,0.9505,11734050.2220003,10824168.75270305573
1642723200,2022-01-21 00:00:00,ALGO/USDT,1.16,1.1972,0.9973,1.0301,11846368.73319721,13156959.039955364589
1642636800,2022-01-20 00:00:00,ALGO/USDT,1.2656,1.327,1.1529,1.1613,5266117.45018013,6612846.205831823292
1642550400,2022-01-19 00:00:00,ALGO/USDT,1.3177,1.3226,1.2248,1.2651,4527951.49426983,5789582.79762053692
1642464000,2022-01-18 00:00:00,ALGO/USDT,1.3411,1.3613,1.2777,1.3177,5412648.84429389,7116627.573010045189
1642377600,2022-01-17 00:00:00,ALGO/USDT,1.4297,1.4434,1.3378,1.3414,6733552.65011215,9359883.924476937307
1642291200,2022-01-16 00:00:00,ALGO/USDT,1.3781,1.4491,1.3658,1.4286,6396822.49654256,8989095.732079775665
1642204800,2022-01-15 00:00:00,ALGO/USDT,1.3855,1.4148,1.3575,1.3775,4737138.19912189,6572684.119116868648
1642118400,2022-01-14 00:00:00,ALGO/USDT,1.3606,1.4113,1.3234,1.3816,5954470.62596414,8179569.794973662567
