https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USDT
1645488000,2022-02-22 00:00:00,ATOM/USDT,23.8245,24.9867,22.9917,24.8237,1133177.13324225,27272443.268325147593
1645401600,2022-02-21 00:00:00,ATOM/USDT,26.0542,27.29,23.6155,23.8022,1754208.04724256,45233841.409053945709
1645315200,2022-02-20 00:00:00,ATOM/USDT,26.6672,26.8523,25.4376,26.0499,1033231.91475157,26940175.119855597046
1645228800,2022-02-19 00:00:00,ATOM/USDT,26.8519,27.4155,26.0058,26.674,542387.09821846,14518099.421866790697
1645142400,2022-02-18 00:00:00,ATOM/USDT,28.0612,29.0509,26.719,26.8522,1181479.78781347,32906915.081835483655
1645056000,2022-02-17 00:00:00,ATOM/USDT,28.4971,30.8568,27.5033,28.0491,2116736.45769943,62084786.53341484913
1644969600,2022-02-16 00:00:00,ATOM/USDT,28.9686,29.221,27.5595,28.5079,730204.98324249,20742564.259603364946
1644883200,2022-02-15 00:00:00,ATOM/USDT,27.1553,29.2302,27.1526,28.9597,1228305.34195874,34839340.640300953177
1644796800,2022-02-14 00:00:00,ATOM/USDT,26.179,27.4336,25.3645,27.1467,1127260.92899826,29844982.525466075006
1644710400,2022-02-13 00:00:00,ATOM/USDT,27.0528,27.6284,25.9037,26.1782,612477.6026856,16455722.361935301182
1644624000,2022-02-12 00:00:00,ATOM/USDT,26.5665,28.3353,26.0101,27.059,1161623.30213106,31700159.836546896935
1644537600,2022-02-11 00:00:00,ATOM/USDT,29.1029,29.3436,26.2072,26.607,1176718.97171266,33268691.790062745991
1644451200,2022-02-10 00:00:00,ATOM/USDT,30.9071,31.3007,28.7118,29.066,1334360.69601625,40045735.917458467123
1644364800,2022-02-09 00:00:00,ATOM/USDT,30.4134,31.4665,29.5588,30.9212,1064450.16208307,32568622.052153991676
1644278400,2022-02-08 00:00:00,ATOM/USDT,31.6307,32.6459,29.7249,30.399,1600830.68059534,49632722.370202553349
1644192000,2022-02-07 00:00:00,ATOM/USDT,31.2745,33.1783,30.4946,31.623,1795529.19245266,57613022.38301925693
1644105600,2022-02-06 00:00:00,ATOM/USDT,30.7513,31.9592,30.1,31.2758,1126827.09490169,35042250.543816255296
1644019200,2022-02-05 00:00:00,ATOM/USDT,31.1046,32.2879,29.9477,30.7458,1301006.10881455,40574819.476116825233
1643932800,2022-02-04 00:00:00,ATOM/USDT,29.6799,31.3981,28.5424,31.1146,1818898.40808444,54512792.306147119326
