https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HT,Volume USDT
1645488000,2022-02-22 00:00:00,HT/USDT,9.534,9.5891,9.0509,9.2258,10588.35198919,97621.412581835723
1645401600,2022-02-21 00:00:00,HT/USDT,9.5576,9.7336,9.467,9.5486,4489.73115251,43164.889494467587
1645315200,2022-02-20 00:00:00,HT/USDT,9.7319,9.95,9.4979,9.593,20026.80591641,192806.094413601573
1645228800,2022-02-19 00:00:00,HT/USDT,9.6223,9.7667,9.2882,9.7208,22462.57170753,215436.920507010279
1645142400,2022-02-18 00:00:00,HT/USDT,9.9109,9.9109,9.6023,9.6211,9749.51816888,95043.919567067137
1645056000,2022-02-17 00:00:00,HT/USDT,9.9382,9.9704,9.8263,9.8984,6920.12820295,68592.053104498444
1644969600,2022-02-16 00:00:00,HT/USDT,9.9603,9.9889,9.8653,9.9518,4179.75004706,41480.043688717652
1644883200,2022-02-15 00:00:00,HT/USDT,9.9084,9.9836,9.8705,9.9748,6440.77000061,63953.36755562848
1644796800,2022-02-14 00:00:00,HT/USDT,9.93,9.93,9.7705,9.9068,11910.20645155,117289.466390812192
1644710400,2022-02-13 00:00:00,HT/USDT,9.9364,9.9547,9.8713,9.9133,3876.8466718,38450.33059321229
1644624000,2022-02-12 00:00:00,HT/USDT,9.8786,9.9965,9.8211,9.9415,5576.53480576,55181.637823137934
1644537600,2022-02-11 00:00:00,HT/USDT,9.98,10.0149,9.8777,9.9124,4956.24697547,49289.618504150393
1644451200,2022-02-10 00:00:00,HT/USDT,9.9963,10.1064,9.7998,9.9845,12545.06156201,125249.195083844157
1644364800,2022-02-09 00:00:00,HT/USDT,10.0385,10.0491,9.9402,9.995,4731.00628672,47303.413266364922
1644278400,2022-02-08 00:00:00,HT/USDT,10.0929,10.1556,9.8604,10.0435,12236.14693722,122689.244322781834
1644192000,2022-02-07 00:00:00,HT/USDT,10.0241,10.19,9.9619,10.0681,12790.67409922,129194.857595382219
1644105600,2022-02-06 00:00:00,HT/USDT,9.8146,10.03,9.8038,10.0239,5887.69543888,58627.055671290879
1644019200,2022-02-05 00:00:00,HT/USDT,9.6097,9.8723,9.5467,9.8,5504.94639258,53871.036165325919
1643932800,2022-02-04 00:00:00,HT/USDT,9.2,9.6372,9.1403,9.6242,4510.45807685,42269.734379221478
