https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QNT,Volume USD
1644033600000,2022-02-05 04:00:00,QNT/USD,136.36,137.68,131.0,133.04,980.728399,130476.10620295999
1643947200000,2022-02-04 04:00:00,QNT/USD,136.14,141.4,130.37,136.36,1066.148103,145379.95532508002
1643860800000,2022-02-03 04:00:00,QNT/USD,114.65,145.61,114.65,136.14,5325.598671,725027.0030699399
1643774400000,2022-02-02 04:00:00,QNT/USD,103.44,120.0,103.44,114.65,1816.526501,208264.76333965
1643688000000,2022-02-01 04:00:00,QNT/USD,97.02,106.84,94.99,103.44,747.956671,77368.63804824
1643601600000,2022-01-31 04:00:00,QNT/USD,89.52,97.77,88.52,97.02,539.797204,52371.124732079996
1643515200000,2022-01-30 04:00:00,QNT/USD,96.43,99.81,87.87,89.52,938.432367,84008.46549383999
1643428800000,2022-01-29 04:00:00,QNT/USD,97.57,101.02,95.11,96.43,406.512163,39199.96787809
1643342400000,2022-01-28 04:00:00,QNT/USD,94.33,99.58,91.24,97.57,599.808426,58523.30812482
1643256000000,2022-01-27 04:00:00,QNT/USD,93.36,99.93,88.74,94.33,1989.075041,187629.44861753
1643169600000,2022-01-26 04:00:00,QNT/USD,104.26,110.07,92.04,93.36,998.506734,93220.58868624001
1643083200000,2022-01-25 04:00:00,QNT/USD,100.2,105.19,97.94,104.26,865.545536,90241.77758336
1642996800000,2022-01-24 04:00:00,QNT/USD,108.72,108.72,86.76,100.2,1160.424962,116274.58119240002
1642910400000,2022-01-23 04:00:00,QNT/USD,104.48,116.76,101.5,108.72,1100.135163,119606.69492135999
1642824000000,2022-01-22 04:00:00,QNT/USD,111.24,114.38,84.45,104.48,1289.067497,134681.77208656
1642737600000,2022-01-21 04:00:00,QNT/USD,124.21,129.55,105.0,111.24,1956.177851,217605.22414523998
1642651200000,2022-01-20 04:00:00,QNT/USD,138.23,152.25,122.54,124.21,1134.248703,140885.03139962998
1642564800000,2022-01-19 04:00:00,QNT/USD,148.11,148.11,129.65,138.23,875.760163,121056.32733149
1642478400000,2022-01-18 04:00:00,QNT/USD,161.26,161.32,143.5,148.11,848.321563,125644.90669593001
1642392000000,2022-01-17 04:00:00,QNT/USD,164.56,166.46,157.96,161.26,1406.36387,226790.23767619996
1642305600000,2022-01-16 04:00:00,QNT/USD,165.59,168.44,163.99,164.56,152.193083,25044.89373848
1642219200000,2022-01-15 04:00:00,QNT/USD,166.96,168.96,165.26,165.59,105.030275,17391.963237250002
1642132800000,2022-01-14 04:00:00,QNT/USD,168.44,169.57,162.06,166.96,414.193841,69153.80369336001
1642046400000,2022-01-13 04:00:00,QNT/USD,167.79,176.66,165.31,168.44,479.135256,80705.54252064001
1641960000000,2022-01-12 04:00:00,QNT/USD,165.31,173.2,165.31,167.79,150.654139,25278.257982809995
1641873600000,2022-01-11 04:00:00,QNT/USD,165.89,171.8,161.58,165.31,430.178001,71112.72534531
1641787200000,2022-01-10 04:00:00,QNT/USD,175.44,176.5,158.01,165.89,1664.07356,276053.1628684
