https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1645243200000,2022-02-19 04:00:00,GALA/USD,0.29178,0.29765,0.2655,0.26904,1176159.67935,316434.00013232406
1645156800000,2022-02-18 04:00:00,GALA/USD,0.30246,0.31213,0.28769,0.29178,1208036.877657,352481.00016275945
1645070400000,2022-02-17 04:00:00,GALA/USD,0.325,0.32992,0.29495,0.30246,2089601.815134,632020.9650054297
1644984000000,2022-02-16 04:00:00,GALA/USD,0.34286,0.34352,0.325,0.325,612188.385593,198961.225317725
1644897600000,2022-02-15 04:00:00,GALA/USD,0.33424,0.35978,0.32853,0.34286,3861136.768246,1323829.3523608237
1644811200000,2022-02-14 04:00:00,GALA/USD,0.28224,0.33622,0.27656,0.33424,2550490.901201,852476.0788174222
1644724800000,2022-02-13 04:00:00,GALA/USD,0.30613,0.30842,0.27506,0.28224,1155194.433214,326042.07683031936
1644638400000,2022-02-12 04:00:00,GALA/USD,0.30486,0.32162,0.29278,0.30613,1120468.803276,343009.11474688194
1644552000000,2022-02-11 04:00:00,GALA/USD,0.33582,0.349,0.29913,0.30486,2611659.018832,796190.3684811236
1644465600000,2022-02-10 04:00:00,GALA/USD,0.3686,0.36926,0.32105,0.33582,5256247.538534,1765153.0483904877
1644379200000,2022-02-09 04:00:00,GALA/USD,0.36809,0.37202,0.35472,0.3686,273450.67673,100793.919442678
1644292800000,2022-02-08 04:00:00,GALA/USD,0.35263,0.39768,0.32001,0.36809,4718197.701448,1736721.3919259943
1644206400000,2022-02-07 04:00:00,GALA/USD,0.31675,0.38419,0.31064,0.35263,5336384.325463,1881769.2046880175
1644120000000,2022-02-06 04:00:00,GALA/USD,0.33889,0.34571,0.29637,0.31675,6447236.248392,2042162.0816781658
1644033600000,2022-02-05 04:00:00,GALA/USD,0.23041,0.35846,0.22706,0.33889,13161955.26859,4460455.020972465
1643947200000,2022-02-04 04:00:00,GALA/USD,0.18735,0.23053,0.18497,0.23041,1990420.438566,458612.77324999205
1643860800000,2022-02-03 04:00:00,GALA/USD,0.18233,0.18816,0.1781,0.18735,1459260.355895,273392.42767692823
1643774400000,2022-02-02 04:00:00,GALA/USD,0.20245,0.20245,0.18125,0.18233,1438626.866978,262304.8366560987
1643688000000,2022-02-01 04:00:00,GALA/USD,0.2033,0.20999,0.19756,0.20245,1074513.079982,217535.1730423559
1643601600000,2022-01-31 04:00:00,GALA/USD,0.18464,0.20465,0.1824,0.2033,1758795.25442,357563.075223586
1643515200000,2022-01-30 04:00:00,GALA/USD,0.20559,0.20695,0.17987,0.18464,1693620.605205,312710.1085450512
1643428800000,2022-01-29 04:00:00,GALA/USD,0.19124,0.2105,0.18794,0.20559,2003833.42361,411968.1135599799
1643342400000,2022-01-28 04:00:00,GALA/USD,0.19123,0.19389,0.18165,0.19124,1780665.19092,340534.4111115408
1643256000000,2022-01-27 04:00:00,GALA/USD,0.19608,0.21066,0.17857,0.19123,2296958.942995,439247.4586689339
1643169600000,2022-01-26 04:00:00,GALA/USD,0.19806,0.23252,0.19276,0.19608,4507555.574877,883841.4971218823
1643083200000,2022-01-25 04:00:00,GALA/USD,0.18093,0.19853,0.17574,0.19806,2159796.794329,427769.3530848018
1642996800000,2022-01-24 04:00:00,GALA/USD,0.18732,0.1935,0.16092,0.18093,4218565.380042,763265.034210999
1642910400000,2022-01-23 04:00:00,GALA/USD,0.18528,0.20114,0.18157,0.18732,5510207.970263,1032172.156989665
1642824000000,2022-01-22 04:00:00,GALA/USD,0.21379,0.21433,0.15435,0.18528,27407604.802123,5078081.0177373495
1642737600000,2022-01-21 04:00:00,GALA/USD,0.24303,0.24948,0.20231,0.21379,15112013.840521,3230797.438964985
1642651200000,2022-01-20 04:00:00,GALA/USD,0.27955,0.29478,0.24185,0.24303,8244052.090092,2003551.9794550587
1642564800000,2022-01-19 04:00:00,GALA/USD,0.28666,0.28994,0.27311,0.27955,1224679.718453,342359.2152935362
1642478400000,2022-01-18 04:00:00,GALA/USD,0.30024,0.31422,0.28547,0.28666,7390167.206809,2118465.331503868
1642392000000,2022-01-17 04:00:00,GALA/USD,0.31751,0.32022,0.29976,0.30024,2884034.561202,865902.5366552884
1642305600000,2022-01-16 04:00:00,GALA/USD,0.3311,0.34139,0.3167,0.31751,2361613.042235,749835.7570400349
1642219200000,2022-01-15 04:00:00,GALA/USD,0.32549,0.34965,0.32296,0.3311,3929423.126439,1301031.997163953
1642132800000,2022-01-14 04:00:00,GALA/USD,0.32912,0.335,0.318,0.32549,1662256.067224,541047.7273207398
1642046400000,2022-01-13 04:00:00,GALA/USD,0.34956,0.36246,0.32221,0.32912,3070262.283904,1010484.7228784846
