https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTM,Volume USD
1645502400000,2022-02-22 04:00:00,FTM/USD,1.4995,1.6368,1.4918,1.6032,1814081.864554,2908336.0452529727
1645416000000,2022-02-21 04:00:00,FTM/USD,1.7763,1.8098,1.4759,1.4995,1681569.314618,2521513.1872696914
1645329600000,2022-02-20 04:00:00,FTM/USD,1.8293,1.8317,1.6769,1.7763,1568297.987924,2785767.7159494013
1645243200000,2022-02-19 04:00:00,FTM/USD,1.8837,1.914,1.811,1.8293,709590.678088,1298054.2274263785
1645156800000,2022-02-18 04:00:00,FTM/USD,1.9157,1.9705,1.844,1.8837,901713.215666,1698557.1843500442
1645070400000,2022-02-17 04:00:00,FTM/USD,2.0639,2.1523,1.8753,1.9157,2506990.614289,4802641.919793437
1644984000000,2022-02-16 04:00:00,FTM/USD,2.0783,2.1045,2.0062,2.0639,853506.231221,1761551.5106170217
1644897600000,2022-02-15 04:00:00,FTM/USD,1.9884,2.1034,1.9729,2.0783,1324872.111851,2753481.7100599334
1644811200000,2022-02-14 04:00:00,FTM/USD,1.85,2.0057,1.8376,1.9884,1396541.628192,2776883.373496973
1644724800000,2022-02-13 04:00:00,FTM/USD,1.9231,1.9886,1.8176,1.85,690973.078748,1278300.1956838
1644638400000,2022-02-12 04:00:00,FTM/USD,1.9308,1.9998,1.8814,1.9231,983541.660821,1891448.9679248652
1644552000000,2022-02-11 04:00:00,FTM/USD,2.1185,2.1802,1.9142,1.9308,1499337.29549,2894920.450132092
1644465600000,2022-02-10 04:00:00,FTM/USD,2.216,2.2643,2.0585,2.1185,1985243.43531,4205738.217704236
1644379200000,2022-02-09 04:00:00,FTM/USD,2.1582,2.2562,2.1582,2.216,214909.135605,476238.64450068003
1644292800000,2022-02-08 04:00:00,FTM/USD,2.3244,2.4036,2.1385,2.1582,1880648.202,4058814.9495564
1644206400000,2022-02-07 04:00:00,FTM/USD,2.326,2.387,2.2601,2.3244,2563336.931761,5958220.364185267
1644120000000,2022-02-06 04:00:00,FTM/USD,2.1195,2.3367,2.0419,2.326,1055405.151837,2454872.3831728618
1644033600000,2022-02-05 04:00:00,FTM/USD,2.1298,2.202,2.065,2.1195,1698538.850148,3600053.092888686
1643947200000,2022-02-04 04:00:00,FTM/USD,1.9385,2.1458,1.9305,2.1298,2245206.430994,4781840.656731021
1643860800000,2022-02-03 04:00:00,FTM/USD,1.9074,1.9672,1.8659,1.9385,1531444.969519,2968706.0734125813
1643774400000,2022-02-02 04:00:00,FTM/USD,2.0928,2.0928,1.8752,1.9074,1662876.22284,3171770.107445016
1643688000000,2022-02-01 04:00:00,FTM/USD,2.1168,2.1532,2.0215,2.0928,2345514.049773,4908691.803364934
1643601600000,2022-01-31 04:00:00,FTM/USD,1.961,2.1247,1.9137,2.1168,1621291.218677,3431949.251695473
1643515200000,2022-01-30 04:00:00,FTM/USD,2.1129,2.17,1.91,1.961,1519456.680487,2979654.550435007
1643428800000,2022-01-29 04:00:00,FTM/USD,2.1355,2.1922,2.053,2.1129,1233634.496873,2606546.3284429614
1643342400000,2022-01-28 04:00:00,FTM/USD,2.0901,2.1656,1.9772,2.1355,1708344.512808,3648169.707101484
1643256000000,2022-01-27 04:00:00,FTM/USD,2.1184,2.2538,1.9905,2.0901,3567336.517616,7456090.055469202
1643169600000,2022-01-26 04:00:00,FTM/USD,2.3283,2.6259,2.0986,2.1184,3409062.973397,7221759.002844205
1643083200000,2022-01-25 04:00:00,FTM/USD,2.2609,2.4747,2.18,2.3283,3094742.815236,7205489.696713978
