https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMP,Volume USD
1645588800000,2022-02-23 04:00:00,AMP/USD,0.02658,0.02798,0.02372,0.02375,37933642.307501,900924.0048031488
1645502400000,2022-02-22 04:00:00,AMP/USD,0.02524,0.02706,0.02429,0.02658,47952943.404923,1274589.2357028532
1645416000000,2022-02-21 04:00:00,AMP/USD,0.02788,0.02879,0.02524,0.02524,24018177.021367,606218.788019303
1645329600000,2022-02-20 04:00:00,AMP/USD,0.02884,0.02884,0.02698,0.02788,20970614.60395,584660.735158126
1645243200000,2022-02-19 04:00:00,AMP/USD,0.02961,0.03018,0.02842,0.02884,13961627.531582,402653.33801082487
1645156800000,2022-02-18 04:00:00,AMP/USD,0.0301,0.03073,0.0291,0.02961,12067396.58893,357315.6129982173
1645070400000,2022-02-17 04:00:00,AMP/USD,0.03156,0.03158,0.02968,0.0301,32468322.518879,977296.5078182579
1644984000000,2022-02-16 04:00:00,AMP/USD,0.03182,0.03394,0.03024,0.03156,34090382.139519,1075892.4603232194
1644897600000,2022-02-15 04:00:00,AMP/USD,0.03034,0.03182,0.02983,0.03182,23947419.041648,762006.8739052394
1644811200000,2022-02-14 04:00:00,AMP/USD,0.02999,0.03056,0.02887,0.03034,31474018.123068,954921.7098538831
1644724800000,2022-02-13 04:00:00,AMP/USD,0.03096,0.03175,0.02985,0.02999,24037649.990927,720889.1232279007
1644638400000,2022-02-12 04:00:00,AMP/USD,0.03263,0.03387,0.03071,0.03096,43713332.678938,1353364.7797399205
1644552000000,2022-02-11 04:00:00,AMP/USD,0.03024,0.03757,0.03,0.03263,147909896.026082,4826299.907331056
1644465600000,2022-02-10 04:00:00,AMP/USD,0.03117,0.03184,0.03,0.03024,38411987.344895,1161578.4973096247
1644379200000,2022-02-09 04:00:00,AMP/USD,0.03064,0.03132,0.03064,0.03117,313146.581586,9760.778948035619
1644292800000,2022-02-08 04:00:00,AMP/USD,0.03286,0.03382,0.0304,0.03064,59014979.744036,1808218.979357263
1644206400000,2022-02-07 04:00:00,AMP/USD,0.03178,0.0341,0.03172,0.03286,41311320.013769,1357489.9756524493
1644120000000,2022-02-06 04:00:00,AMP/USD,0.03215,0.03262,0.03113,0.03178,31351332.592082,996345.349776366
1644033600000,2022-02-05 04:00:00,AMP/USD,0.03127,0.03349,0.03008,0.03215,43285776.88859,1391637.7269681685
1643947200000,2022-02-04 04:00:00,AMP/USD,0.0305,0.03134,0.02947,0.03127,40267050.561318,1259150.671052414
1643860800000,2022-02-03 04:00:00,AMP/USD,0.0286,0.03189,0.02803,0.0305,83192297.572893,2537365.0759732365
