https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PAXG,Volume USD
1620187200000,2021-05-05 04:00:00,PAXG/USD,1796.25,1822.52,1771.54,1796.56,114.2165505617,205196.88607712774
1620100800000,2021-05-04 04:00:00,PAXG/USD,1800.01,1836.74,1784.48,1796.25,57.7861172954,103798.31319186224
1620014400000,2021-05-03 04:00:00,PAXG/USD,1783.88,1815.64,1777.3,1800.01,133.1345826911,239643.58018980693
1619928000000,2021-05-02 04:00:00,PAXG/USD,1788.0,1797.0,1767.75,1783.88,120.1549648363,214342.03867217884
1619841600000,2021-05-01 04:00:00,PAXG/USD,1788.28,1799.0,1786.83,1788.0,38.4115603607,68679.8699249316
1619755200000,2021-04-30 04:00:00,PAXG/USD,1780.92,1799.0,1775.04,1788.28,40.9295908336,73193.56869591022
1619668800000,2021-04-29 04:00:00,PAXG/USD,1794.75,1804.37,1773.56,1780.92,58.8161221993,104746.80834717736
1619582400000,2021-04-28 04:00:00,PAXG/USD,1779.86,1805.64,1775.65,1794.75,36.9589086582,66332.00131430445
1619496000000,2021-04-27 04:00:00,PAXG/USD,1793.9,1804.54,1778.44,1779.86,57.6661613922,102637.69401552109
1619409600000,2021-04-26 04:00:00,PAXG/USD,1791.44,1810.0,1785.13,1793.9,52.8008963267,94719.52792046714
1619323200000,2021-04-25 04:00:00,PAXG/USD,1777.83,1800.92,1771.37,1791.44,51.7750624069,92751.91779821693
1619236800000,2021-04-24 04:00:00,PAXG/USD,1798.87,1809.14,1777.36,1777.83,31.8212695371,56572.80762114249
1619150400000,2021-04-23 04:00:00,PAXG/USD,1822.44,1925.0,1790.42,1798.87,90.9273327635,163566.45108827724
1619064000000,2021-04-22 04:00:00,PAXG/USD,1811.67,1839.87,1793.79,1822.44,40.6549347112,74091.17921507933
1618977600000,2021-04-21 04:00:00,PAXG/USD,1796.89,1826.5,1788.22,1811.67,235.1622180958,426036.335657618
1618891200000,2021-04-20 04:00:00,PAXG/USD,1787.09,1816.61,1768.29,1796.89,46.4250152387,83420.64563226764
1618804800000,2021-04-19 04:00:00,PAXG/USD,1803.76,1845.0,1769.23,1787.09,81.4467764123,145552.71965865718
1618718400000,2021-04-18 04:00:00,PAXG/USD,1773.29,1820.0,1773.26,1803.76,36.5714535948,65966.12513615645
1618632000000,2021-04-17 04:00:00,PAXG/USD,1804.62,1810.0,1773.21,1773.29,41.1346281327,72943.62472143558
1618545600000,2021-04-16 04:00:00,PAXG/USD,1776.76,1808.45,1749.01,1804.62,71.994974853,129923.57151922086
1618459200000,2021-04-15 04:00:00,PAXG/USD,1748.84,1783.35,1724.59,1776.76,84.0101686898,149265.90732128904
1618372800000,2021-04-14 04:00:00,PAXG/USD,1752.95,1762.6,1738.72,1748.84,23.2052108573,40582.20095568053
1618286400000,2021-04-13 04:00:00,PAXG/USD,1752.33,1769.93,1733.63,1752.95,56.3847566477,98839.65916558572
1618200000000,2021-04-12 04:00:00,PAXG/USD,1755.27,1763.69,1740.0,1752.33,36.1066798925,63270.818376024516
1618113600000,2021-04-11 04:00:00,PAXG/USD,1763.78,1774.27,1749.8,1755.27,16.3083480944,28625.554159657488
1618027200000,2021-04-10 04:00:00,PAXG/USD,1755.98,1788.84,1747.03,1763.78,46.903139794,82726.81990586131
1617940800000,2021-04-09 04:00:00,PAXG/USD,1766.6,1767.88,1740.97,1755.98,30.0455822302,52759.4414845866
1617854400000,2021-04-08 04:00:00,PAXG/USD,1754.94,1777.97,1754.94,1766.6,21.4265340156,37852.11499195896
1617768000000,2021-04-07 04:00:00,PAXG/USD,1755.19,1840.0,1730.0,1754.94,101.71192293,178498.3220267742
1617681600000,2021-04-06 04:00:00,PAXG/USD,1735.53,1770.0,1735.0,1755.19,63.707715461,111819.14509999259
1617595200000,2021-04-05 04:00:00,PAXG/USD,1736.94,1740.0,1735.0,1735.53,16.5302323582,28688.714164626843
1617508800000,2021-04-04 04:00:00,PAXG/USD,1740.0,1752.62,1735.0,1736.94,26.5971333987,46197.624885537974
1617422400000,2021-04-03 04:00:00,PAXG/USD,1747.32,1751.0,1735.0,1740.0,21.9786281885,38242.81304799
1617336000000,2021-04-02 04:00:00,PAXG/USD,1742.32,1748.76,1729.9,1747.32,26.7184323487,46685.65121153048
1617249600000,2021-04-01 04:00:00,PAXG/USD,1723.4,1742.32,1721.92,1742.32,57.3882040158,99988.61562080865
1617163200000,2021-03-31 04:00:00,PAXG/USD,1696.67,1730.06,1693.89,1723.4,82.4284492553,142057.18944658403
1617076800000,2021-03-30 04:00:00,PAXG/USD,1719.68,1721.1,1680.0,1696.67,99.6629159069,169095.07953176
1616990400000,2021-03-29 04:00:00,PAXG/USD,1730.32,1736.8,1711.8,1719.68,40.2061106569,69141.6443744578
1616904000000,2021-03-28 04:00:00,PAXG/USD,1748.51,1752.77,1721.05,1730.32,55.1037645853,95347.14593723629
1616817600000,2021-03-27 04:00:00,PAXG/USD,1739.0,1752.05,1733.88,1748.51,23.6040228756,41271.870038215355
1616731200000,2021-03-26 04:00:00,PAXG/USD,1729.9,1743.14,1725.0,1739.0,14.7201374425,25598.3190125075
1616644800000,2021-03-25 04:00:00,PAXG/USD,1739.49,1748.1,1728.2,1729.9,28.7234155743,49688.63660198157
1616558400000,2021-03-24 04:00:00,PAXG/USD,1737.5,1739.49,1725.81,1739.49,41.1932952021,71655.32507110093
1616472000000,2021-03-23 04:00:00,PAXG/USD,1741.0,1752.48,1728.79,1737.5,45.4921602283,79042.62839667125
1616385600000,2021-03-22 04:00:00,PAXG/USD,1751.5,1752.39,1741.0,1741.0,16.6013972568,28903.0326240888
1616299200000,2021-03-21 04:00:00,PAXG/USD,1762.86,1765.39,1745.0,1751.5,18.3324941095,32109.36343278925
1616212800000,2021-03-20 04:00:00,PAXG/USD,1764.2,1767.7,1757.81,1762.86,10.10543529,17814.4676553294
1616126400000,2021-03-19 04:00:00,PAXG/USD,1744.65,1770.2,1744.65,1764.2,5.7888227121,10212.64102868682
1616040000000,2021-03-18 04:00:00,PAXG/USD,1758.3,1765.27,1732.02,1744.65,50.9679649694,88921.26008386372
1615953600000,2021-03-17 04:00:00,PAXG/USD,1734.99,1776.84,1732.07,1758.3,65.1105734729,114483.92133740007
1615867200000,2021-03-16 04:00:00,PAXG/USD,1746.43,1756.82,1732.36,1734.99,54.1201770324,93897.96594944368
1615780800000,2021-03-15 04:00:00,PAXG/USD,1736.0,1757.25,1728.6,1746.43,48.8879966577,85379.46400290701
1615694400000,2021-03-14 04:00:00,PAXG/USD,1737.34,1740.0,1723.35,1736.0,50.23307157,87204.61224552
