https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USD
1641268800000,2022-01-04 04:00:00,AXS/USD,94.28,96.74,92.5,94.61,3684.096768,348552.39522048
1641182400000,2022-01-03 04:00:00,AXS/USD,95.21,97.92,92.24,94.28,2817.786878,265660.94685784
1641096000000,2022-01-02 04:00:00,AXS/USD,93.91,96.67,93.06,95.21,2006.507991,191039.62582311
1641009600000,2022-01-01 04:00:00,AXS/USD,93.65,95.27,91.31,93.91,2783.866965,261432.94668315002
1640923200000,2021-12-31 04:00:00,AXS/USD,95.28,98.04,91.23,93.65,3003.243111,281253.71734515
1640836800000,2021-12-30 04:00:00,AXS/USD,93.89,96.67,93.61,95.28,3607.26199,343699.9224072
1640750400000,2021-12-29 04:00:00,AXS/USD,98.57,98.92,91.96,93.89,2137.440475,200684.28619774999
1640664000000,2021-12-28 04:00:00,AXS/USD,104.07,107.65,97.06,98.57,4207.309228,414714.47060396
1640577600000,2021-12-27 04:00:00,AXS/USD,107.5,111.88,102.73,104.07,2914.479744,303309.90695808
1640491200000,2021-12-26 04:00:00,AXS/USD,105.8,108.32,105.52,107.5,14455.580664,1553974.92138
1640404800000,2021-12-25 04:00:00,AXS/USD,105.38,110.3,105.22,105.8,1941.090948,205367.4222984
1640318400000,2021-12-24 04:00:00,AXS/USD,107.08,109.6,103.76,105.38,1798.497965,189525.7155517
1640232000000,2021-12-23 04:00:00,AXS/USD,101.9,108.99,100.16,107.08,2812.168213,301126.97224803997
1640145600000,2021-12-22 04:00:00,AXS/USD,98.78,104.54,97.5,101.9,1610.951638,164155.9719122
1640059200000,2021-12-21 04:00:00,AXS/USD,94.51,99.36,94.23,98.78,2091.137589,206562.57104142
1639972800000,2021-12-20 04:00:00,AXS/USD,94.75,95.22,89.84,94.51,1969.416947,186129.59566097
1639886400000,2021-12-19 04:00:00,AXS/USD,97.19,98.43,94.1,94.75,1588.10742,150473.178045
1639800000000,2021-12-18 04:00:00,AXS/USD,95.61,98.07,94.84,97.19,1599.662502,155471.19856937998
1639713600000,2021-12-17 04:00:00,AXS/USD,98.54,101.86,91.67,95.61,2065.720159,197503.50440199
1639627200000,2021-12-16 04:00:00,AXS/USD,101.84,101.84,97.5,98.54,568.07369,55977.981412600006
1639540800000,2021-12-15 04:00:00,AXS/USD,95.62,103.21,92.15,101.84,2242.496416,228375.83500544
1639454400000,2021-12-14 04:00:00,AXS/USD,93.8,97.17,92.07,95.62,3042.685722,290941.60873764
1639368000000,2021-12-13 04:00:00,AXS/USD,101.24,101.91,91.16,93.8,2697.300917,253006.8260146
1639281600000,2021-12-12 04:00:00,AXS/USD,102.96,106.02,100.6,101.24,1267.127108,128283.94841391998
1639195200000,2021-12-11 04:00:00,AXS/USD,100.49,103.84,99.44,102.96,1303.428524,134201.00083103997
1639108800000,2021-12-10 04:00:00,AXS/USD,104.15,105.46,95.68,100.49,2843.384968,285731.75543431996
1639022400000,2021-12-09 04:00:00,AXS/USD,112.68,112.68,102.94,104.15,811.564165,84524.40778475
1638936000000,2021-12-08 04:00:00,AXS/USD,111.45,115.01,106.16,112.68,4162.591223,469040.7790076401
1638849600000,2021-12-07 04:00:00,AXS/USD,106.56,121.9,102.29,111.45,3443.57852768,383786.82690993603
1638763200000,2021-12-06 04:00:00,AXS/USD,106.71,107.94,95.32,106.56,7050.82075091,751335.4592169697
1638676800000,2021-12-05 04:00:00,AXS/USD,118.63,121.3,103.72,106.71,4739.77859071,505781.773414664
1638590400000,2021-12-04 04:00:00,AXS/USD,123.37,125.19,101.81,118.63,11885.07850934,1409926.8635630042
1638504000000,2021-12-03 04:00:00,AXS/USD,136.29,142.56,123.37,123.37,8960.8116035,1105495.3275237952
