https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SNX,Volume USD
1641268800000,2022-01-04 04:00:00,SNX/USD,6.9527,7.2028,6.555,6.8368,114988.916492,786156.2242725056
1641182400000,2022-01-03 04:00:00,SNX/USD,6.1267,7.3288,6.1267,6.9527,164366.792284,1142792.9967129668
1641096000000,2022-01-02 04:00:00,SNX/USD,6.0125,6.4314,5.8671,6.1267,62515.019701,383010.7712021167
1641009600000,2022-01-01 04:00:00,SNX/USD,5.741,6.0563,5.6094,6.0125,57080.794618,343198.277640725
1640923200000,2021-12-31 04:00:00,SNX/USD,5.5483,5.7912,5.35,5.741,67469.580174,387342.859778934
1640836800000,2021-12-30 04:00:00,SNX/USD,5.3328,5.6011,5.3238,5.5483,48721.923615,270323.8487931045
1640750400000,2021-12-29 04:00:00,SNX/USD,6.0049,6.0085,5.2917,5.3328,47717.383305,254467.261688904
1640664000000,2021-12-28 04:00:00,SNX/USD,6.1513,6.2941,5.7694,6.0049,62324.897355,374254.7761270395
1640577600000,2021-12-27 04:00:00,SNX/USD,6.2997,6.8057,6.0518,6.1513,81748.235795,502857.9228457835
1640491200000,2021-12-26 04:00:00,SNX/USD,5.5823,6.4504,5.5696,6.2997,48546.722942,305829.79051771737
1640404800000,2021-12-25 04:00:00,SNX/USD,5.7479,5.8986,5.5546,5.5823,14261.148287,79610.0080825201
1640318400000,2021-12-24 04:00:00,SNX/USD,6.1575,6.2134,5.6549,5.7479,115078.847924,661461.7099823595
1640232000000,2021-12-23 04:00:00,SNX/USD,5.7103,6.3286,5.4682,6.1575,95071.332512,585401.7299426399
1640145600000,2021-12-22 04:00:00,SNX/USD,5.4272,5.7626,5.4272,5.7103,18356.138183,104819.0558663849
1640059200000,2021-12-21 04:00:00,SNX/USD,5.2981,5.4457,5.2385,5.4272,18904.466404,102598.3200677888
1639972800000,2021-12-20 04:00:00,SNX/USD,5.0901,5.3246,4.81,5.2981,29692.546107,157314.07852949668
1639886400000,2021-12-19 04:00:00,SNX/USD,5.3095,5.5007,5.0794,5.0901,24796.06232,126214.436815032
1639800000000,2021-12-18 04:00:00,SNX/USD,5.2173,5.3697,5.1272,5.3095,43148.95624,229099.38315628
1639713600000,2021-12-17 04:00:00,SNX/USD,5.1378,5.4762,4.757,5.2173,56396.093758,294235.3399636134
1639627200000,2021-12-16 04:00:00,SNX/USD,5.1738,5.1738,4.9905,5.1378,14274.732294,73340.7195801132
1639540800000,2021-12-15 04:00:00,SNX/USD,5.0099,5.3205,4.7832,5.1738,70445.970801,364473.36373021384
1639454400000,2021-12-14 04:00:00,SNX/USD,4.9159,5.1711,4.8112,5.0099,18402.535574,92194.8629721826
1639368000000,2021-12-13 04:00:00,SNX/USD,5.3267,5.4229,4.7692,4.9159,70190.010976,345047.0749569184
1639281600000,2021-12-12 04:00:00,SNX/USD,5.65,5.8019,5.2291,5.3267,22057.183571,117491.9997276457
1639195200000,2021-12-11 04:00:00,SNX/USD,5.3855,5.6807,5.3492,5.65,5115.006028,28899.7840582
1639108800000,2021-12-10 04:00:00,SNX/USD,5.6466,5.7321,5.22,5.3855,19126.869833,103007.7574856215
1639022400000,2021-12-09 04:00:00,SNX/USD,5.9394,5.9394,5.5537,5.6466,17669.981999,99775.3203555534
1638936000000,2021-12-08 04:00:00,SNX/USD,5.8224,6.3099,5.6801,5.9394,83924.893705,498463.513671477
1638849600000,2021-12-07 04:00:00,SNX/USD,5.9608,6.1129,5.7707,5.8224,42991.188652,250311.8968074048
1638763200000,2021-12-06 04:00:00,SNX/USD,5.8962,6.0936,5.3379,5.9608,27382.726436,163222.9557397088
1638676800000,2021-12-05 04:00:00,SNX/USD,6.2765,6.3002,5.565,5.8962,33660.014581,198466.17797249224
1638590400000,2021-12-04 04:00:00,SNX/USD,6.5218,6.6435,4.6288,6.2765,111645.261539,700741.4840495335
1638504000000,2021-12-03 04:00:00,SNX/USD,7.3057,7.6891,6.5218,6.5218,31786.982941,207308.34534461377
1638417600000,2021-12-02 04:00:00,SNX/USD,7.1792,7.364,7.1792,7.3057,5439.793735,39741.5010897895
1638331200000,2021-12-01 04:00:00,SNX/USD,7.6174,7.6965,7.104,7.1792,60417.36647562,433748.3574017711
1638244800000,2021-11-30 04:00:00,SNX/USD,7.7603,8.0081,7.5355,7.6174,11100.58706441,84557.61190443674
1638158400000,2021-11-29 04:00:00,SNX/USD,7.6034,7.9938,7.4753,7.7603,38232.67982114,296697.06521599274
1638072000000,2021-11-28 04:00:00,SNX/USD,7.3892,7.7,7.1013,7.6034,28115.2289845,213771.3320607473
1637985600000,2021-11-27 04:00:00,SNX/USD,7.6344,7.9066,7.2961,7.3892,26964.13664332,199243.39848482012
1637899200000,2021-11-26 04:00:00,SNX/USD,8.0579,8.0665,7.1162,7.6344,61622.22570215,470448.719900494
1637812800000,2021-11-25 04:00:00,SNX/USD,7.8382,8.24,7.8232,8.0579,50428.24130986,406345.7256507209
1637726400000,2021-11-24 04:00:00,SNX/USD,7.9975,8.2498,7.7696,7.8382,32405.94964871,254004.3145365187
1637640000000,2021-11-23 04:00:00,SNX/USD,8.2777,8.3001,7.79,7.9975,47561.43153361,380372.54869004595
1637553600000,2021-11-22 04:00:00,SNX/USD,8.2502,8.5668,8.0275,8.2777,46448.06356086,384483.1357377308
1637467200000,2021-11-21 04:00:00,SNX/USD,8.6256,8.8616,8.2207,8.2502,9677.97111385,79845.19728348526
1637380800000,2021-11-20 04:00:00,SNX/USD,8.6746,8.9803,8.5,8.6256,23146.77908113,199654.85764219493
1637294400000,2021-11-19 04:00:00,SNX/USD,8.0874,8.9151,8.0874,8.6746,31376.59676335,272179.4262833559
1637208000000,2021-11-18 04:00:00,SNX/USD,8.8917,8.8917,8.0286,8.0874,31669.46066282,256123.5961644905
1637121600000,2021-11-17 04:00:00,SNX/USD,8.5447,9.0343,8.4899,8.8917,27603.37522126,245440.93145487754
1637035200000,2021-11-16 04:00:00,SNX/USD,9.221,9.3264,8.3138,8.5447,57838.82353871,494215.39549121534
1636948800000,2021-11-15 04:00:00,SNX/USD,10.0477,10.1808,9.0803,9.221,34528.15269532,318384.09600354574
1636862400000,2021-11-14 04:00:00,SNX/USD,9.9139,10.6439,9.8721,10.0477,44311.80535512,445231.72666663927
1636776000000,2021-11-13 04:00:00,SNX/USD,9.4615,10.0439,9.4246,9.9139,30275.12079476,300144.52004717116
