https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SAND,Volume USD
1639195200000,2021-12-11 04:00:00,SAND/USD,4.92579,5.34946,4.87229,5.27534,398957.265827,2104635.222707806
1639108800000,2021-12-10 04:00:00,SAND/USD,5.24241,5.26509,4.70619,4.92579,1265971.26614,6235908.603039751
1639022400000,2021-12-09 04:00:00,SAND/USD,5.23727,5.38496,5.10793,5.24241,253626.274004,1329612.9151013095
1638936000000,2021-12-08 04:00:00,SAND/USD,5.25909,5.4912,5.02548,5.23727,823861.669015,4314786.003282188
1638849600000,2021-12-07 04:00:00,SAND/USD,5.36528,5.73418,5.22964,5.25909,789969.12744989,4154518.7384804417
1638763200000,2021-12-06 04:00:00,SAND/USD,5.21081,5.69711,4.76911,5.36528,1590182.850286,8531776.24298247
1638676800000,2021-12-05 04:00:00,SAND/USD,5.79346,5.90433,5.01419,5.21081,1467836.17319573,7648615.409650043
1638590400000,2021-12-04 04:00:00,SAND/USD,5.63023,6.19998,3.73288,5.79346,4243108.00161153,24582276.48301633
1638504000000,2021-12-03 04:00:00,SAND/USD,6.53273,6.90725,5.62882,5.63023,2677807.98673982,15076674.861182136
1638417600000,2021-12-02 04:00:00,SAND/USD,6.1217,6.86392,6.1217,6.53273,713296.08577898,4659770.7384509165
1638331200000,2021-12-01 04:00:00,SAND/USD,6.72047,6.7799,6.02,6.1217,860868.08354531,5269976.147039324
1638244800000,2021-11-30 04:00:00,SAND/USD,6.84822,7.17006,6.6,6.72047,1632761.80315351,10972926.715239068
1638158400000,2021-11-29 04:00:00,SAND/USD,7.682,7.84774,6.67765,6.84822,2433046.45277261,16662037.378806444
1638072000000,2021-11-28 04:00:00,SAND/USD,5.90452,7.947,5.7734,7.682,3172153.43283788,24368482.671060596
1637985600000,2021-11-27 04:00:00,SAND/USD,6.72406,6.79722,5.78371,5.90452,1897837.85256986,11205821.55725579
1637899200000,2021-11-26 04:00:00,SAND/USD,7.14073,7.46209,6.35,6.72406,3018293.44290892,20295186.20772615
1637812800000,2021-11-25 04:00:00,SAND/USD,7.21317,8.49578,6.66625,7.14073,3267250.28179958,23330552.104754712
1637726400000,2021-11-24 04:00:00,SAND/USD,6.21555,7.993,6.19,7.21317,6584749.54982405,47496917.91030434
1637640000000,2021-11-23 04:00:00,SAND/USD,4.95507,6.39647,4.91967,6.21555,4306181.63611732,26765287.268369008
1637553600000,2021-11-22 04:00:00,SAND/USD,3.87526,5.25,3.75025,4.95507,3460772.59801494,17148370.47724589
1637467200000,2021-11-21 04:00:00,SAND/USD,4.25126,4.27864,3.82251,3.87526,1571688.59914305,6090701.9607150955
1637380800000,2021-11-20 04:00:00,SAND/USD,4.21993,4.46516,4.02427,4.25126,1838597.71866327,7816356.937444413
1637294400000,2021-11-19 04:00:00,SAND/USD,4.33379,4.4992,3.96589,4.21993,1782903.55288976,7523728.189946084
1637208000000,2021-11-18 04:00:00,SAND/USD,3.72766,4.7,3.72766,4.33379,2993876.33365187,12974831.316017136
1637121600000,2021-11-17 04:00:00,SAND/USD,3.23378,3.88,3.11621,3.72766,2957400.0467649,11024181.858323647
1637035200000,2021-11-16 04:00:00,SAND/USD,2.58436,3.61795,2.31426,3.23378,3130348.8109573,10122859.377897497
1636948800000,2021-11-15 04:00:00,SAND/USD,2.93456,2.96639,2.48677,2.58436,922352.95185693,2383692.074660976
1636862400000,2021-11-14 04:00:00,SAND/USD,2.83466,3.00432,2.74399,2.93456,813960.15617493,2388614.9159047026
1636776000000,2021-11-13 04:00:00,SAND/USD,2.77635,3.20514,2.74805,2.83466,3047400.43373688,8638344.113496583
1636689600000,2021-11-12 04:00:00,SAND/USD,2.64266,2.90007,2.53035,2.77635,893992.94937554,2482037.3249987806
1636603200000,2021-11-11 04:00:00,SAND/USD,2.34797,2.70979,2.2849,2.64266,1131257.50216221,2989528.9506639857
1636516800000,2021-11-10 04:00:00,SAND/USD,2.52181,2.7,2.03961,2.34797,1547543.89163439,3633586.6312407986
1636430400000,2021-11-09 04:00:00,SAND/USD,2.50592,2.55463,2.3482,2.52181,3021770.56963505,7620331.240211365
1636344000000,2021-11-08 04:00:00,SAND/USD,2.56058,2.73714,2.48172,2.50592,1311376.76520944,3286205.2634736397
1636257600000,2021-11-07 04:00:00,SAND/USD,2.67295,2.71266,2.51,2.56058,804766.49517412,2060668.992212948
1636171200000,2021-11-06 04:00:00,SAND/USD,2.70499,2.85481,2.56887,2.67295,1319581.68059042,3527175.8531341637
1636084800000,2021-11-05 04:00:00,SAND/USD,2.68653,2.78823,2.43596,2.70499,1782496.57100518,4821635.399603302
