https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USD
1649476800000,2022-04-09 04:00:00,GRT/USD,0.3962,0.4084,0.3953,0.4033,150228.968478,60587.3429871774
1649390400000,2022-04-08 04:00:00,GRT/USD,0.4302,0.4326,0.3882,0.3962,573197.118125,227100.69820112502
1649304000000,2022-04-07 04:00:00,GRT/USD,0.4179,0.4352,0.4094,0.4302,319047.251684,137254.1276744568
1649217600000,2022-04-06 04:00:00,GRT/USD,0.4489,0.4489,0.4076,0.4179,356481.58669,148973.655077751
1649131200000,2022-04-05 04:00:00,GRT/USD,0.4977,0.5001,0.4348,0.4489,634990.389513,285047.1858523857
1649044800000,2022-04-04 04:00:00,GRT/USD,0.5063,0.5124,0.4675,0.4977,420603.666511,209334.4448225247
1648958400000,2022-04-03 04:00:00,GRT/USD,0.5123,0.5323,0.5013,0.5063,364391.169875,184491.2493077125
1648872000000,2022-04-02 04:00:00,GRT/USD,0.5096,0.5495,0.4941,0.5123,974837.589014,499409.2968518722
1648785600000,2022-04-01 04:00:00,GRT/USD,0.4446,0.5096,0.444,0.5096,457931.553028,233361.91942306882
1648699200000,2022-03-31 04:00:00,GRT/USD,0.491,0.5252,0.4353,0.4446,569112.2475,253027.30523850003
1648612800000,2022-03-30 04:00:00,GRT/USD,0.4675,0.5058,0.4675,0.491,202639.926726,99496.204022466
1648526400000,2022-03-29 04:00:00,GRT/USD,0.4474,0.4947,0.4474,0.4675,527549.808553,246629.53549852752
1648440000000,2022-03-28 04:00:00,GRT/USD,0.4448,0.4874,0.4264,0.4474,803225.613792,359363.1396105408
1648353600000,2022-03-27 04:00:00,GRT/USD,0.4142,0.4477,0.4068,0.4448,529132.593724,235358.17768843521
1648267200000,2022-03-26 04:00:00,GRT/USD,0.4109,0.4181,0.4065,0.4142,143221.584693,59322.38037984061
1648180800000,2022-03-25 04:00:00,GRT/USD,0.4451,0.4505,0.4023,0.4109,322759.266359,132621.7825469131
1648094400000,2022-03-24 04:00:00,GRT/USD,0.4245,0.4513,0.4107,0.4451,813886.198229,362260.7468317279
1648008000000,2022-03-23 04:00:00,GRT/USD,0.4091,0.4349,0.4091,0.4245,70102.180785,29758.3757432325
1647921600000,2022-03-22 04:00:00,GRT/USD,0.4143,0.4242,0.4018,0.4091,293284.263809,119982.59232426192
1647835200000,2022-03-21 04:00:00,GRT/USD,0.3881,0.4189,0.3881,0.4143,102380.065204,42416.0610140172
1647748800000,2022-03-20 04:00:00,GRT/USD,0.4099,0.4205,0.3809,0.3881,181534.824462,70453.6653737022
1647662400000,2022-03-19 04:00:00,GRT/USD,0.4097,0.4277,0.4018,0.4099,190777.36111,78199.640318989
1647576000000,2022-03-18 04:00:00,GRT/USD,0.3992,0.429,0.3981,0.4097,328321.248434,134513.21548340982
1647489600000,2022-03-17 04:00:00,GRT/USD,0.4081,0.4174,0.398,0.3992,248637.827182,99256.2206110544
1647403200000,2022-03-16 04:00:00,GRT/USD,0.4448,0.4547,0.407,0.4081,286661.751286,116986.66069981661
1647316800000,2022-03-15 04:00:00,GRT/USD,0.3645,0.4586,0.3527,0.4448,763912.067801,339788.08775788476
1647230400000,2022-03-14 04:00:00,GRT/USD,0.3317,0.3809,0.3317,0.3645,325850.943572,118772.668931994
1647144000000,2022-03-13 04:00:00,GRT/USD,0.3373,0.3596,0.3274,0.3317,169361.526605,56177.218374878496
1647057600000,2022-03-12 04:00:00,GRT/USD,0.3229,0.3389,0.3166,0.3373,92472.996024,31191.141558895197
1646971200000,2022-03-11 04:00:00,GRT/USD,0.3304,0.3395,0.3188,0.3229,183594.082195,59282.5291407655
1646884800000,2022-03-10 04:00:00,GRT/USD,0.3348,0.3348,0.3163,0.3304,658968.723751,217723.26632733044
1646798400000,2022-03-09 04:00:00,GRT/USD,0.3578,0.3578,0.3339,0.3348,120222.737124,40250.5723891152
1646712000000,2022-03-08 04:00:00,GRT/USD,0.3421,0.3604,0.3343,0.3578,103373.364536,36986.9898309808
1646625600000,2022-03-07 04:00:00,GRT/USD,0.3172,0.3442,0.316,0.3421,226414.010522,77456.2329995762
1646539200000,2022-03-06 04:00:00,GRT/USD,0.3438,0.3498,0.315,0.3172,126255.568348,40048.2662799856
1646452800000,2022-03-05 04:00:00,GRT/USD,0.3359,0.3523,0.332,0.3438,132540.610337,45567.461833860594
1646366400000,2022-03-04 04:00:00,GRT/USD,0.3482,0.3633,0.3286,0.3359,264466.077141,88834.1553116619
1646280000000,2022-03-03 04:00:00,GRT/USD,0.3641,0.3778,0.3459,0.3482,1842575.236793,641584.6974513226
1646193600000,2022-03-02 04:00:00,GRT/USD,0.3789,0.3819,0.3594,0.3641,122099.038113,44456.2597769433
1646107200000,2022-03-01 04:00:00,GRT/USD,0.3745,0.3892,0.3637,0.3789,487590.40715,184748.005269135
1646020800000,2022-02-28 04:00:00,GRT/USD,0.3356,0.3828,0.3273,0.3745,471377.634857,176530.92425394652
1645934400000,2022-02-27 04:00:00,GRT/USD,0.3338,0.3663,0.3294,0.3356,402663.120268,135133.7431619408
1645848000000,2022-02-26 04:00:00,GRT/USD,0.3611,0.364,0.33,0.3338,355681.842086,118726.5988883068
1645761600000,2022-02-25 04:00:00,GRT/USD,0.3647,0.3723,0.3407,0.3611,468367.501854,169127.50491947937
1645675200000,2022-02-24 04:00:00,GRT/USD,0.3246,0.3697,0.3246,0.3647,203966.933705,74386.74072221351
1645588800000,2022-02-23 04:00:00,GRT/USD,0.3781,0.3934,0.3228,0.3246,488953.165538,158714.1975336348
1645502400000,2022-02-22 04:00:00,GRT/USD,0.3533,0.3895,0.3521,0.3781,288549.643968,109100.62038430081
1645416000000,2022-02-21 04:00:00,GRT/USD,0.4067,0.4231,0.3486,0.3533,313956.135049,110920.7025128117
1645329600000,2022-02-20 04:00:00,GRT/USD,0.4044,0.4216,0.378,0.4067,257229.202364,104615.1166014388
1645243200000,2022-02-19 04:00:00,GRT/USD,0.4108,0.4252,0.399,0.4044,182220.104251,73689.8101591044
1645156800000,2022-02-18 04:00:00,GRT/USD,0.4374,0.4497,0.4094,0.4108,187596.668692,77064.7114986736
1645070400000,2022-02-17 04:00:00,GRT/USD,0.476,0.4799,0.4312,0.4374,337120.862811,147456.6653935314
1644984000000,2022-02-16 04:00:00,GRT/USD,0.4796,0.5129,0.4482,0.476,262328.967187,124868.58838101198
1644897600000,2022-02-15 04:00:00,GRT/USD,0.442,0.5068,0.4384,0.4796,588120.708899,282062.6919879604
1644811200000,2022-02-14 04:00:00,GRT/USD,0.3931,0.445,0.3892,0.442,385496.205762,170389.322946804
1644724800000,2022-02-13 04:00:00,GRT/USD,0.4163,0.4232,0.3859,0.3931,350991.206839,137974.6434084109
1644638400000,2022-02-12 04:00:00,GRT/USD,0.4202,0.4295,0.4058,0.4163,238950.250304,99474.98920155519
1644552000000,2022-02-11 04:00:00,GRT/USD,0.4537,0.4667,0.4134,0.4202,474364.101988,199327.7956553576
1644465600000,2022-02-10 04:00:00,GRT/USD,0.4793,0.4889,0.4465,0.4537,444867.362469,201836.3223521853
1644379200000,2022-02-09 04:00:00,GRT/USD,0.4659,0.4856,0.4659,0.4793,75544.146541,36208.3094371013
1644292800000,2022-02-08 04:00:00,GRT/USD,0.503,0.5147,0.4555,0.4659,706786.318495,329291.7457868205
1644206400000,2022-02-07 04:00:00,GRT/USD,0.4796,0.5219,0.474,0.503,508471.110996,255760.96883098801
1644120000000,2022-02-06 04:00:00,GRT/USD,0.4506,0.4812,0.4389,0.4796,211253.632495,101317.242144602
1644033600000,2022-02-05 04:00:00,GRT/USD,0.452,0.4651,0.4395,0.4506,277426.847505,125008.53748575301
1643947200000,2022-02-04 04:00:00,GRT/USD,0.4025,0.4522,0.4023,0.452,590583.921949,266943.932720948
1643860800000,2022-02-03 04:00:00,GRT/USD,0.4001,0.4066,0.3919,0.4025,325813.014988,131139.73853267
1643774400000,2022-02-02 04:00:00,GRT/USD,0.4335,0.4335,0.3948,0.4001,374053.366345,149658.7518746345
1643688000000,2022-02-01 04:00:00,GRT/USD,0.4172,0.448,0.4107,0.4335,452818.80687,196296.95277814497
1643601600000,2022-01-31 04:00:00,GRT/USD,0.3858,0.4182,0.3794,0.4172,547743.80543,228518.715625396
1643515200000,2022-01-30 04:00:00,GRT/USD,0.4113,0.4198,0.3835,0.3858,382330.227937,147503.0019380946
