https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1639540800000,2021-12-15 04:00:00,1INCH/USD,2.4954,2.5938,2.331,2.5628,22851.087078,58562.76596349841
1639454400000,2021-12-14 04:00:00,1INCH/USD,2.4462,2.5875,2.4071,2.4954,47850.659378,119406.5354118612
1639368000000,2021-12-13 04:00:00,1INCH/USD,2.5103,2.6538,2.2314,2.4462,74373.10234,181931.482944108
1639281600000,2021-12-12 04:00:00,1INCH/USD,2.5467,2.6065,2.4873,2.5103,15120.082389,37955.9428211067
1639195200000,2021-12-11 04:00:00,1INCH/USD,2.6035,2.6064,2.5209,2.5467,17145.231609,43663.761338640295
1639108800000,2021-12-10 04:00:00,1INCH/USD,2.5141,2.6194,2.4677,2.6035,35834.284863,93294.5606408205
1639022400000,2021-12-09 04:00:00,1INCH/USD,2.8251,2.8251,2.4999,2.5141,29268.979864,73585.1422760824
1638936000000,2021-12-08 04:00:00,1INCH/USD,2.6569,2.9651,2.5674,2.8251,109089.087557,308187.5812572807
1638849600000,2021-12-07 04:00:00,1INCH/USD,2.8003,2.8477,2.6453,2.6569,27207.893196,72288.6514324524
1638763200000,2021-12-06 04:00:00,1INCH/USD,2.6072,2.8608,2.3875,2.8003,66909.183969,187365.7878683907
1638676800000,2021-12-05 04:00:00,1INCH/USD,2.6661,2.8234,2.4863,2.6072,121841.116832,317664.1598043904
1638590400000,2021-12-04 04:00:00,1INCH/USD,2.9258,3.0029,2.03,2.6661,139772.698765,372647.99217736657
1638504000000,2021-12-03 04:00:00,1INCH/USD,3.4224,3.5014,2.8447,2.9258,107479.806782,314464.41868277563
1638417600000,2021-12-02 04:00:00,1INCH/USD,3.4849,3.6362,3.3746,3.4224,25115.0472,85953.73753728
1638331200000,2021-12-01 04:00:00,1INCH/USD,3.5822,3.8834,3.4067,3.4849,82078.18666128,286034.27269589464
1638244800000,2021-11-30 04:00:00,1INCH/USD,3.6624,3.7257,3.515,3.5822,25319.15671542,90698.28318597752
1638158400000,2021-11-29 04:00:00,1INCH/USD,3.628,3.784,3.5839,3.6624,57397.71729385,210213.39981699624
1638072000000,2021-11-28 04:00:00,1INCH/USD,3.5081,3.6839,3.3833,3.628,27365.17212056,99280.84445339169
1637985600000,2021-11-27 04:00:00,1INCH/USD,3.7391,3.8031,3.5048,3.5081,18670.21671458,65496.987256418106
1637899200000,2021-11-26 04:00:00,1INCH/USD,4.1305,4.1405,3.5948,3.7391,62048.13735803,232004.19039540997
1637812800000,2021-11-25 04:00:00,1INCH/USD,4.0519,4.3003,3.985,4.1305,49899.22279479,206108.7397538801
1637726400000,2021-11-24 04:00:00,1INCH/USD,3.9197,4.115,3.9,4.0519,41557.48481589,168386.77272550468
1637640000000,2021-11-23 04:00:00,1INCH/USD,3.859,4.1082,3.7608,3.9197,47184.67527772,184949.7716860791
1637553600000,2021-11-22 04:00:00,1INCH/USD,3.8714,4.0002,3.7634,3.859,14079.78525126,54333.89128461234
1637467200000,2021-11-21 04:00:00,1INCH/USD,3.8639,4.1485,3.8361,3.8714,37760.76597799,146187.02940719048
1637380800000,2021-11-20 04:00:00,1INCH/USD,3.8442,4.0304,3.7714,3.8639,27354.78895804,105696.16905497076
1637294400000,2021-11-19 04:00:00,1INCH/USD,3.5346,3.9413,3.5346,3.8442,30363.21889911,116722.28609195867
1637208000000,2021-11-18 04:00:00,1INCH/USD,3.949,3.949,3.4956,3.5346,22037.75093066,77894.63443951085
1637121600000,2021-11-17 04:00:00,1INCH/USD,3.7143,3.9934,3.6957,3.949,25640.93105363,101256.03673078486
1637035200000,2021-11-16 04:00:00,1INCH/USD,3.9411,4.0105,3.6636,3.7143,73620.14265463,273447.2958620922
1636948800000,2021-11-15 04:00:00,1INCH/USD,4.2904,4.3528,3.85,3.9411,39944.13194602,157423.81841245943
1636862400000,2021-11-14 04:00:00,1INCH/USD,4.2418,4.3227,4.1486,4.2904,29369.63925312,126007.50025158605
1636776000000,2021-11-13 04:00:00,1INCH/USD,4.1357,4.3118,4.1061,4.2418,19156.03249701,81256.05864581701
1636689600000,2021-11-12 04:00:00,1INCH/USD,4.2172,4.2257,4.1054,4.1357,9495.2169493,39269.36873722001
1636603200000,2021-11-11 04:00:00,1INCH/USD,4.1467,4.4803,4.1091,4.2172,42950.37899318,181130.3382900387
1636516800000,2021-11-10 04:00:00,1INCH/USD,4.3831,4.7345,3.7364,4.1467,141468.64964945,586628.0495013744
1636430400000,2021-11-09 04:00:00,1INCH/USD,4.4886,4.6118,4.3525,4.3831,42635.39500092,186875.19982853244
1636344000000,2021-11-08 04:00:00,1INCH/USD,4.5019,4.6485,4.4301,4.4886,39331.1232668,176541.67989535848
1636257600000,2021-11-07 04:00:00,1INCH/USD,4.4464,4.6216,4.3721,4.5019,34267.84790251,154270.42447230977
1636171200000,2021-11-06 04:00:00,1INCH/USD,4.408,4.4628,4.1456,4.4464,53186.02274006,236486.33151140276
1636084800000,2021-11-05 04:00:00,1INCH/USD,4.4723,4.6114,4.3679,4.408,33022.97646061,145565.2802383689
1635998400000,2021-11-04 04:00:00,1INCH/USD,4.4601,4.5998,4.2734,4.4723,116579.54091815,521378.6808482422
1635912000000,2021-11-03 04:00:00,1INCH/USD,4.5485,4.5605,4.3286,4.4601,65114.58056192,290417.54076421936
1635825600000,2021-11-02 04:00:00,1INCH/USD,4.4502,4.7713,4.4348,4.5485,91617.53929487,416722.37748271617
1635739200000,2021-11-01 04:00:00,1INCH/USD,4.2615,4.669,4.2395,4.4502,55877.02268536,248663.92635438908
1635652800000,2021-10-31 04:00:00,1INCH/USD,4.5005,4.6008,4.2615,4.2615,55569.48310728,236809.35226167372
1635566400000,2021-10-30 04:00:00,1INCH/USD,4.9124,4.9124,4.4736,4.5005,15635.94234954,70369.55854410477
1635480000000,2021-10-29 04:00:00,1INCH/USD,5.1842,5.2162,4.8755,4.9124,103341.43323506,507654.4566239087
1635393600000,2021-10-28 04:00:00,1INCH/USD,5.0035,5.6216,4.7485,5.1842,243146.90055383,1260522.1618511654
