https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENJ,Volume USD
1647921600000,2022-03-22 04:00:00,ENJ/USD,1.4741,1.4982,1.4412,1.4614,34417.29052,50297.428365928004
1647835200000,2022-03-21 04:00:00,ENJ/USD,1.4183,1.4789,1.4183,1.4741,18481.595845,27243.720435114497
1647748800000,2022-03-20 04:00:00,ENJ/USD,1.48,1.4864,1.4051,1.4183,43982.137396,62379.86546874679
1647662400000,2022-03-19 04:00:00,ENJ/USD,1.4515,1.55,1.4434,1.48,54924.260486,81287.90551928
1647576000000,2022-03-18 04:00:00,ENJ/USD,1.3759,1.4695,1.3675,1.4515,71238.590786,103402.814525879
1647489600000,2022-03-17 04:00:00,ENJ/USD,1.4182,1.4411,1.3635,1.3759,38989.046666,53645.0293077494
1647403200000,2022-03-16 04:00:00,ENJ/USD,1.3107,1.4398,1.3107,1.4182,59944.858375,85013.798147425
1647316800000,2022-03-15 04:00:00,ENJ/USD,1.3092,1.3748,1.28,1.3107,131100.656706,171833.63074455422
1647230400000,2022-03-14 04:00:00,ENJ/USD,1.2973,1.3353,1.2822,1.3092,124205.330408,162609.61857015357
1647144000000,2022-03-13 04:00:00,ENJ/USD,1.3612,1.3783,1.2832,1.2973,94367.68262,122423.194662926
1647057600000,2022-03-12 04:00:00,ENJ/USD,1.3321,1.382,1.3131,1.3612,154895.759315,210844.107579578
1646971200000,2022-03-11 04:00:00,ENJ/USD,1.3073,1.36,1.2868,1.3321,92295.93028,122947.408725988
1646884800000,2022-03-10 04:00:00,ENJ/USD,1.3566,1.3566,1.2908,1.3073,39515.33056,51658.391641088
1646798400000,2022-03-09 04:00:00,ENJ/USD,1.3917,1.4396,1.3408,1.3566,69770.615421,94650.8168801286
1646712000000,2022-03-08 04:00:00,ENJ/USD,1.338,1.4012,1.3297,1.3917,40604.042088,56508.6453738696
1646625600000,2022-03-07 04:00:00,ENJ/USD,1.3139,1.3981,1.2762,1.338,155972.894844,208691.733301272
1646539200000,2022-03-06 04:00:00,ENJ/USD,1.4366,1.4396,1.3094,1.3139,77449.216927,101760.5261203853
1646452800000,2022-03-05 04:00:00,ENJ/USD,1.3647,1.4696,1.3505,1.4366,83621.975146,120131.32949474361
1646366400000,2022-03-04 04:00:00,ENJ/USD,1.4229,1.466,1.3255,1.3647,121533.571397,165856.8648854859
1646280000000,2022-03-03 04:00:00,ENJ/USD,1.5242,1.5489,1.4029,1.4229,102549.503618,145917.6886980522
1646193600000,2022-03-02 04:00:00,ENJ/USD,1.6136,1.6136,1.5098,1.5242,21806.221731,33237.043162390204
1646107200000,2022-03-01 04:00:00,ENJ/USD,1.5518,1.6441,1.5132,1.6136,96095.553503,155059.7851324408
1646020800000,2022-02-28 04:00:00,ENJ/USD,1.3679,1.5929,1.3476,1.5518,326981.151227,507409.3504740586
1645934400000,2022-02-27 04:00:00,ENJ/USD,1.3969,1.4921,1.3406,1.3679,224791.679096,307492.53783541836
1645848000000,2022-02-26 04:00:00,ENJ/USD,1.4955,1.5151,1.3856,1.3969,75269.955316,105144.6005809204
1645761600000,2022-02-25 04:00:00,ENJ/USD,1.3843,1.5106,1.3185,1.4955,214086.254955,320165.9942852025
1645675200000,2022-02-24 04:00:00,ENJ/USD,1.2556,1.3914,1.2556,1.3843,191129.155889,264580.0904971427
1645588800000,2022-02-23 04:00:00,ENJ/USD,1.4362,1.5358,1.25,1.2556,168209.417969,211203.74520187642
1645502400000,2022-02-22 04:00:00,ENJ/USD,1.3536,1.4926,1.3536,1.4362,111585.171527,160258.6233470774
1645416000000,2022-02-21 04:00:00,ENJ/USD,1.5825,1.6336,1.3357,1.3536,277484.119368,375602.5039765248
1645329600000,2022-02-20 04:00:00,ENJ/USD,1.6172,1.6273,1.4883,1.5825,164105.43501,259696.850903325
1645243200000,2022-02-19 04:00:00,ENJ/USD,1.6869,1.7088,1.6059,1.6172,56693.93222,91685.427186184
1645156800000,2022-02-18 04:00:00,ENJ/USD,1.7667,1.7979,1.6501,1.6869,100209.074495,169042.6877656155
1645070400000,2022-02-17 04:00:00,ENJ/USD,1.958,1.9597,1.7105,1.7667,158818.63487,280584.882224829
1644984000000,2022-02-16 04:00:00,ENJ/USD,1.9798,2.0025,1.8954,1.958,31657.469291,61985.324871778
1644897600000,2022-02-15 04:00:00,ENJ/USD,1.8117,2.0007,1.808,1.9798,88233.420698,174684.52629790042
1644811200000,2022-02-14 04:00:00,ENJ/USD,1.7134,1.8249,1.6798,1.8117,152062.091456,275490.8910908352
1644724800000,2022-02-13 04:00:00,ENJ/USD,1.7932,1.8146,1.6806,1.7134,54881.804486,94034.4838063124
1644638400000,2022-02-12 04:00:00,ENJ/USD,1.8396,1.8718,1.7561,1.7932,74143.490041,132954.1063415212
1644552000000,2022-02-11 04:00:00,ENJ/USD,1.9792,2.0536,1.7935,1.8396,120024.24126,220796.59422189597
1644465600000,2022-02-10 04:00:00,ENJ/USD,2.0908,2.1477,1.9465,1.9792,118825.292096,235179.01811640323
