https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USD
1643601600000,2022-01-31 04:00:00,FIL/USD,19.2975,21.5974,19.0712,21.4607,85101.953577,1826347.4951299236
1643515200000,2022-01-30 04:00:00,FIL/USD,20.3306,20.8784,19.0,19.2975,56815.875274,1096404.3531000149
1643428800000,2022-01-29 04:00:00,FIL/USD,19.6806,20.8021,19.6291,20.3306,78565.875631,1597291.3911036088
1643342400000,2022-01-28 04:00:00,FIL/USD,19.1194,19.8558,18.5142,19.6806,56891.145805,1119651.8841298828
1643256000000,2022-01-27 04:00:00,FIL/USD,18.2246,19.9379,18.1396,19.1194,70511.328758,1348134.299055705
1643169600000,2022-01-26 04:00:00,FIL/USD,18.5673,20.4289,18.1,18.2246,97118.773671,1769950.8026445066
1643083200000,2022-01-25 04:00:00,FIL/USD,18.1704,18.5895,17.7884,18.5673,48149.750258,894010.8579653634
1642996800000,2022-01-24 04:00:00,FIL/USD,18.8431,18.8898,16.8603,18.1704,204092.309662,3708438.903482405
1642910400000,2022-01-23 04:00:00,FIL/USD,19.1196,20.2291,18.372,18.8431,75821.585633,1428713.7202411823
1642824000000,2022-01-22 04:00:00,FIL/USD,22.0976,22.1564,17.0505,19.1196,197712.503235,3780183.9768519057
1642737600000,2022-01-21 04:00:00,FIL/USD,25.09,25.3762,21.191,22.0976,167364.669075,3698357.5113517204
1642651200000,2022-01-20 04:00:00,FIL/USD,28.004,28.6835,24.67,25.09,40956.494094,1027598.43681846
1642564800000,2022-01-19 04:00:00,FIL/USD,28.023,28.1182,27.4676,28.004,8293.146414,232241.27217765604
1642478400000,2022-01-18 04:00:00,FIL/USD,28.8251,29.0281,27.6845,28.023,19175.919958,537366.8049830339
1642392000000,2022-01-17 04:00:00,FIL/USD,29.6114,29.7239,28.5852,28.8251,15395.454465,443775.5144990715
1642305600000,2022-01-16 04:00:00,FIL/USD,30.0544,31.3944,29.5301,29.6114,27486.134326,813902.9179809163
1642219200000,2022-01-15 04:00:00,FIL/USD,29.8065,30.5526,29.3469,30.0544,25551.436642,767933.0974133249
1642132800000,2022-01-14 04:00:00,FIL/USD,28.894,30.0368,28.0736,29.8065,35455.92948,1056817.16204562
1642046400000,2022-01-13 04:00:00,FIL/USD,30.1857,30.5526,28.3027,28.894,31039.175887,896845.948078978
1641960000000,2022-01-12 04:00:00,FIL/USD,29.0383,30.8641,29.0383,30.1857,14910.648174,450088.3525859118
1641873600000,2022-01-11 04:00:00,FIL/USD,28.4652,29.2172,28.023,29.0383,29652.088814,861046.2506075761
1641787200000,2022-01-10 04:00:00,FIL/USD,29.9067,30.0993,26.3754,28.4652,100833.105705,2870234.5205139657
1641700800000,2022-01-09 04:00:00,FIL/USD,29.7959,31.0488,29.4497,29.9067,34104.599269,1019956.0189582023
1641614400000,2022-01-08 04:00:00,FIL/USD,31.632,31.933,28.3643,29.7959,69173.928685,2061099.4617053918
1641528000000,2022-01-07 04:00:00,FIL/USD,31.4056,32.3174,29.752,31.632,64144.714626,2029025.6130496322
1641441600000,2022-01-06 04:00:00,FIL/USD,32.476,33.3897,31.1031,31.4056,35510.145801,1115217.4349678855
1641355200000,2022-01-05 04:00:00,FIL/USD,37.9352,37.9352,31.1031,32.476,48393.957315,1571642.15776194
1641268800000,2022-01-04 04:00:00,FIL/USD,35.1605,38.4787,34.6935,37.9352,76402.213997,2898333.2684189943
1641182400000,2022-01-03 04:00:00,FIL/USD,35.0881,35.5214,34.3683,35.1605,24131.974547,848492.2910597936
1641096000000,2022-01-02 04:00:00,FIL/USD,35.7787,36.4243,34.8663,35.0881,31285.567694,1097751.1278038414
1641009600000,2022-01-01 04:00:00,FIL/USD,34.7101,36.2257,34.3507,35.7787,43718.863904,1564204.1159620448
1640923200000,2021-12-31 04:00:00,FIL/USD,35.536,35.7019,33.5216,34.7101,91830.039198,3187429.8435664997
1640836800000,2021-12-30 04:00:00,FIL/USD,33.9213,35.8146,33.8792,35.536,42321.435673,1503934.538075728
1640750400000,2021-12-29 04:00:00,FIL/USD,36.5109,36.5109,33.4374,33.9213,46047.142357,1561978.930034504
1640664000000,2021-12-28 04:00:00,FIL/USD,38.6369,38.6369,35.8631,36.5109,54833.034381,2002003.4349812528
1640577600000,2021-12-27 04:00:00,FIL/USD,37.2849,41.303,37.0073,38.6369,108583.788044,4195340.960277223
1640491200000,2021-12-26 04:00:00,FIL/USD,35.8146,37.6888,35.6091,37.2849,27569.058777,1027909.5995945672
1640404800000,2021-12-25 04:00:00,FIL/USD,36.3345,37.2975,35.55,35.8146,41736.062323,1494760.3776733156
1640318400000,2021-12-24 04:00:00,FIL/USD,37.0906,37.7392,36.027,36.3345,59070.253595,2146288.1292475276
1640232000000,2021-12-23 04:00:00,FIL/USD,35.6752,38.0785,35.2686,37.0906,107230.191988,3977232.158950113
1640145600000,2021-12-22 04:00:00,FIL/USD,35.6363,36.3574,35.2143,35.6752,36878.640476,1315652.874709395
1640059200000,2021-12-21 04:00:00,FIL/USD,35.1404,35.8942,34.7643,35.6363,84716.281012,3018974.8050279357
1639972800000,2021-12-20 04:00:00,FIL/USD,35.5413,35.9394,33.8247,35.1404,68950.625137,2422952.5475642346
1639886400000,2021-12-19 04:00:00,FIL/USD,36.5008,36.6694,35.2957,35.5413,23377.541671,830868.2217915122
1639800000000,2021-12-18 04:00:00,FIL/USD,35.902,36.7523,35.8026,36.5008,28728.424372,1048610.4723174975
1639713600000,2021-12-17 04:00:00,FIL/USD,37.751,39.4499,35.3082,35.902,79339.761494,2848456.1171575882
1639627200000,2021-12-16 04:00:00,FIL/USD,37.7778,37.7778,36.9876,37.751,10510.258504,396772.768784504
1639540800000,2021-12-15 04:00:00,FIL/USD,37.1507,38.8654,35.6988,37.7778,52458.976232,1981784.7122972496
1639454400000,2021-12-14 04:00:00,FIL/USD,35.9523,37.2788,35.275,37.1507,51736.134135,1922033.5984091444
1639368000000,2021-12-13 04:00:00,FIL/USD,38.7011,38.9416,35.3139,35.9523,55087.51432,1980522.8410869362
