https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USD
1650427200000,2022-04-20 04:00:00,MANA/USD,2.17578,2.17578,2.11446,2.12807,6407.113154,13634.78528963278
1650340800000,2022-04-19 04:00:00,MANA/USD,2.07261,2.23162,2.07193,2.17578,286402.97125,623149.856786325
1650254400000,2022-04-18 04:00:00,MANA/USD,2.0731,2.11017,1.96,2.07261,262808.944583,544700.4466321716
1650168000000,2022-04-17 04:00:00,MANA/USD,2.13405,2.14654,2.04177,2.0731,39538.996456,81968.29355293361
1650081600000,2022-04-16 04:00:00,MANA/USD,2.15353,2.18907,2.11275,2.13405,41352.653866,88248.63098273729
1649995200000,2022-04-15 04:00:00,MANA/USD,2.14362,2.18622,2.10735,2.15353,113097.858563,243559.63135117738
1649908800000,2022-04-14 04:00:00,MANA/USD,2.21438,2.22021,2.09569,2.14362,83327.999638,178623.56658400953
1649822400000,2022-04-13 04:00:00,MANA/USD,2.14659,2.2373,2.14659,2.21438,52610.221438,116499.02214787844
1649736000000,2022-04-12 04:00:00,MANA/USD,2.07603,2.19982,2.07226,2.14659,243285.600029,522234.43616625114
1649649600000,2022-04-11 04:00:00,MANA/USD,2.2235,2.26127,2.0379,2.07603,359210.767897,745732.3304772088
1649563200000,2022-04-10 04:00:00,MANA/USD,2.33781,2.35279,2.20681,2.2235,90673.427109,201612.3651768615
1649476800000,2022-04-09 04:00:00,MANA/USD,2.287,2.34715,2.28336,2.33781,191999.068404,448857.34210555523
1649390400000,2022-04-08 04:00:00,MANA/USD,2.4259,2.43109,2.24557,2.287,439004.0296,1004002.2156952
1649304000000,2022-04-07 04:00:00,MANA/USD,2.35976,2.44168,2.34452,2.4259,218754.574168,530676.7214741511
1649217600000,2022-04-06 04:00:00,MANA/USD,2.48108,2.48108,2.29308,2.35976,177966.513116,419958.2589906122
1649131200000,2022-04-05 04:00:00,MANA/USD,2.66168,2.6846,2.4025,2.48108,374965.153593,930318.5432765204
1649044800000,2022-04-04 04:00:00,MANA/USD,2.69093,2.74483,2.55525,2.66168,184116.253862,490058.5505794082
1648958400000,2022-04-03 04:00:00,MANA/USD,2.65023,2.76766,2.64864,2.69093,223323.289033,600947.3381575707
1648872000000,2022-04-02 04:00:00,MANA/USD,2.70805,2.76704,2.6,2.65023,184564.744612,489139.0231130608
1648785600000,2022-04-01 04:00:00,MANA/USD,2.52683,2.74997,2.47145,2.70805,678915.596153,1838537.3801621317
1648699200000,2022-03-31 04:00:00,MANA/USD,2.78064,2.79896,2.46037,2.52683,658933.366192,1665012.5976949313
1648612800000,2022-03-30 04:00:00,MANA/USD,2.66434,2.84577,2.66434,2.78064,307696.906577,855594.3263042693
1648526400000,2022-03-29 04:00:00,MANA/USD,2.73298,2.78476,2.5926,2.66434,333033.57322,887314.6704729749
1648440000000,2022-03-28 04:00:00,MANA/USD,2.73989,2.81899,2.64979,2.73298,204845.731788,559839.2880619683
1648353600000,2022-03-27 04:00:00,MANA/USD,2.61452,2.75312,2.58586,2.73989,299204.355375,819787.0212484087
1648267200000,2022-03-26 04:00:00,MANA/USD,2.59716,2.64007,2.57426,2.61452,55498.443303,145101.78998455958
1648180800000,2022-03-25 04:00:00,MANA/USD,2.64721,2.72291,2.54965,2.59716,317297.64609,824072.7545191044
1648094400000,2022-03-24 04:00:00,MANA/USD,2.588,2.70921,2.57281,2.64721,489671.573964,1296263.4873132403
1648008000000,2022-03-23 04:00:00,MANA/USD,2.43351,2.68678,2.43351,2.588,403040.680159,1043069.2802514919
1647921600000,2022-03-22 04:00:00,MANA/USD,2.45717,2.49265,2.4056,2.43351,148902.667894,362356.13134672795
1647835200000,2022-03-21 04:00:00,MANA/USD,2.37913,2.47067,2.37913,2.45717,33510.665167,82341.4011283974
1647748800000,2022-03-20 04:00:00,MANA/USD,2.46401,2.48513,2.35665,2.37913,307211.056185,730895.040101419
1647662400000,2022-03-19 04:00:00,MANA/USD,2.44294,2.55708,2.43772,2.46401,195333.570324,481303.87061403925
1647576000000,2022-03-18 04:00:00,MANA/USD,2.36937,2.47024,2.3539,2.44294,330068.49705,806337.534183327
1647489600000,2022-03-17 04:00:00,MANA/USD,2.45615,2.46559,2.36219,2.36937,387225.197035,917479.765098818
1647403200000,2022-03-16 04:00:00,MANA/USD,2.25739,2.53294,2.25739,2.45615,159291.985708,391245.0106967042
1647316800000,2022-03-15 04:00:00,MANA/USD,2.26448,2.34786,2.23063,2.25739,133860.017347,302174.2645589443
1647230400000,2022-03-14 04:00:00,MANA/USD,2.26553,2.32382,2.24008,2.26448,90775.575579,205559.4753871339
1647144000000,2022-03-13 04:00:00,MANA/USD,2.39095,2.40309,2.22674,2.26553,117010.817165,265091.5166118225
1647057600000,2022-03-12 04:00:00,MANA/USD,2.3348,2.44439,2.3,2.39095,162172.916481,387747.33466024697
1646971200000,2022-03-11 04:00:00,MANA/USD,2.34124,2.40892,2.29827,2.3348,170088.626808,397122.9258713184
1646884800000,2022-03-10 04:00:00,MANA/USD,2.42271,2.42465,2.30844,2.34124,177903.181072,416514.0436530093
