https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CRV,Volume USD
1640923200000,2021-12-31 04:00:00,CRV/USD,5.3569,5.7623,5.1258,5.569,619499.994069,3449995.466970261
1640836800000,2021-12-30 04:00:00,CRV/USD,4.8105,5.4163,4.8015,5.3569,475368.418858,2546501.0829804204
1640750400000,2021-12-29 04:00:00,CRV/USD,5.0625,5.1962,4.6542,4.8105,461134.341588,2218286.750209074
1640664000000,2021-12-28 04:00:00,CRV/USD,5.0422,5.2023,4.5495,5.0625,1019762.386157,5162547.079919812
1640577600000,2021-12-27 04:00:00,CRV/USD,5.7181,5.7456,4.8957,5.0422,365041.514001,1840612.3218958422
1640491200000,2021-12-26 04:00:00,CRV/USD,5.9834,6.0312,5.6429,5.7181,221490.841021,1266506.77804218
1640404800000,2021-12-25 04:00:00,CRV/USD,5.2675,6.0812,5.2225,5.9834,469955.607793,2811932.383668636
1640318400000,2021-12-24 04:00:00,CRV/USD,5.1085,5.6212,5.0394,5.2675,673998.405589,3550286.6014400576
1640232000000,2021-12-23 04:00:00,CRV/USD,5.164,5.4496,4.9548,5.1085,650527.935993,3323221.961020241
1640145600000,2021-12-22 04:00:00,CRV/USD,4.9476,5.3722,4.8512,5.164,293169.083109,1513925.1451748759
1640059200000,2021-12-21 04:00:00,CRV/USD,4.2067,4.95,4.1977,4.9476,790730.938035,3912220.389021966
1639972800000,2021-12-20 04:00:00,CRV/USD,4.1598,4.2626,3.7923,4.2067,911114.850208,3832786.8403699934
1639886400000,2021-12-19 04:00:00,CRV/USD,4.4753,4.5511,4.0826,4.1598,357935.777013,1488941.2452186772
1639800000000,2021-12-18 04:00:00,CRV/USD,4.2749,4.6162,4.1766,4.4753,999753.859639,4474198.448042417
1639713600000,2021-12-17 04:00:00,CRV/USD,4.0245,4.4592,3.448,4.2749,864607.556152,3696110.8417941844
1639627200000,2021-12-16 04:00:00,CRV/USD,3.819,4.0445,3.819,4.0245,106305.511718,427826.53190909093
1639540800000,2021-12-15 04:00:00,CRV/USD,3.3768,3.8809,3.2357,3.819,935479.944627,3572597.908530513
1639454400000,2021-12-14 04:00:00,CRV/USD,3.339,3.468,3.23,3.3768,291600.112444,984675.2597008992
1639368000000,2021-12-13 04:00:00,CRV/USD,3.8867,3.9009,3.2582,3.339,621396.026904,2074841.3338324558
1639281600000,2021-12-12 04:00:00,CRV/USD,3.6767,4.0,3.5797,3.8867,556071.52177,2161283.183663459
1639195200000,2021-12-11 04:00:00,CRV/USD,3.5168,3.7964,3.4459,3.6767,329423.475042,1211191.2906869214
1639108800000,2021-12-10 04:00:00,CRV/USD,3.6929,3.7196,3.29,3.5168,225193.422161,791960.2270558048
1639022400000,2021-12-09 04:00:00,CRV/USD,3.993,3.993,3.6018,3.6929,147141.335558,543378.2380821381
1638936000000,2021-12-08 04:00:00,CRV/USD,4.0288,4.2744,3.7912,3.993,516959.684061,2064220.018455573
1638849600000,2021-12-07 04:00:00,CRV/USD,3.778,4.2124,3.6472,4.0288,760287.61880635,3063046.7586470232
1638763200000,2021-12-06 04:00:00,CRV/USD,3.7165,3.8261,3.2157,3.778,805640.21333278,3043708.725971243
1638676800000,2021-12-05 04:00:00,CRV/USD,3.8734,3.9584,3.3445,3.7165,706593.43145066,2626054.487986378
1638590400000,2021-12-04 04:00:00,CRV/USD,4.0591,4.2178,3.153,3.8734,847301.92021233,3281939.257750439
1638504000000,2021-12-03 04:00:00,CRV/USD,4.5873,4.7174,4.0139,4.0591,393495.04491471,1597235.7368132994
1638417600000,2021-12-02 04:00:00,CRV/USD,4.7675,4.8204,4.5326,4.5873,198917.38361538,912493.7138588327
1638331200000,2021-12-01 04:00:00,CRV/USD,5.1355,5.377,4.6427,4.7675,309712.16012117,1476552.7233776778
1638244800000,2021-11-30 04:00:00,CRV/USD,4.76,5.4565,4.5297,5.1355,643159.69289803,3302946.6028778334
1638158400000,2021-11-29 04:00:00,CRV/USD,4.7925,5.0325,4.6074,4.76,305860.69785594,1455896.9217942741
1638072000000,2021-11-28 04:00:00,CRV/USD,4.5203,5.0302,4.1947,4.7925,631054.25084936,3024327.497195558
1637985600000,2021-11-27 04:00:00,CRV/USD,5.1556,5.3291,4.426,4.5203,616692.57063138,2787635.4270250266
1637899200000,2021-11-26 04:00:00,CRV/USD,5.6611,5.7634,4.7276,5.1556,1198100.49520944,6176926.913101788
1637812800000,2021-11-25 04:00:00,CRV/USD,6.0279,6.4,5.4943,5.6611,920922.92482043,5213436.769700936
1637726400000,2021-11-24 04:00:00,CRV/USD,4.9373,6.16,4.5389,6.0279,1005947.03886816,6063748.155593381
1637640000000,2021-11-23 04:00:00,CRV/USD,4.4268,5.1334,4.3549,4.9373,1340127.80105407,6616612.99214426
1637553600000,2021-11-22 04:00:00,CRV/USD,3.9956,4.5408,3.8551,4.4268,1085528.55158676,4805417.792164269
1637467200000,2021-11-21 04:00:00,CRV/USD,3.8616,4.0912,3.7142,3.9956,358413.25502306,1432076.0017701385
1637380800000,2021-11-20 04:00:00,CRV/USD,4.0033,4.1825,3.8414,3.8616,268493.44840108,1036814.3003456105
1637294400000,2021-11-19 04:00:00,CRV/USD,3.9286,4.195,3.9286,4.0033,324028.7903246,1297184.4563064713
1637208000000,2021-11-18 04:00:00,CRV/USD,4.115,4.3003,3.582,3.9286,453238.46814128,1780592.6459398326
1637121600000,2021-11-17 04:00:00,CRV/USD,3.7884,4.2477,3.7443,4.115,552783.04925526,2274702.247685395
1637035200000,2021-11-16 04:00:00,CRV/USD,3.6475,4.0117,3.2884,3.7884,810536.9791038,3070638.2916368362
1636948800000,2021-11-15 04:00:00,CRV/USD,4.1251,4.1618,3.5569,3.6475,393475.80516118,1435202.999325404
1636862400000,2021-11-14 04:00:00,CRV/USD,4.2482,4.2574,4.037,4.1251,83263.89957663,343471.9121435564
1636776000000,2021-11-13 04:00:00,CRV/USD,4.1734,4.3817,4.1203,4.2482,171171.22024622,727169.5778499917
1636689600000,2021-11-12 04:00:00,CRV/USD,4.2394,4.2536,3.9889,4.1734,42794.66739977,178599.26492620012
1636603200000,2021-11-11 04:00:00,CRV/USD,4.2458,4.4195,4.1013,4.2394,417490.73994106,1769910.2429061297
