https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume USD
1648353600000,2022-03-27 04:00:00,COMP/USD,123.53,130.41,118.2,130.2,792.770324,103218.69618479999
1648267200000,2022-03-26 04:00:00,COMP/USD,117.53,125.59,117.41,123.53,723.893698,89422.58851393999
1648180800000,2022-03-25 04:00:00,COMP/USD,118.97,121.75,113.91,117.53,1217.605169,143105.13551257
1648094400000,2022-03-24 04:00:00,COMP/USD,115.74,121.78,113.66,118.97,1648.684606,196144.00757582
1648008000000,2022-03-23 04:00:00,COMP/USD,113.01,117.83,113.01,115.74,113.636265,13152.2613111
1647921600000,2022-03-22 04:00:00,COMP/USD,117.35,119.19,112.65,113.01,182.840243,20662.77586143
1647835200000,2022-03-21 04:00:00,COMP/USD,113.25,117.9,112.73,117.35,463.673742,54412.113623699996
1647748800000,2022-03-20 04:00:00,COMP/USD,117.46,117.85,112.14,113.25,482.476121,54640.42070325
1647662400000,2022-03-19 04:00:00,COMP/USD,120.21,124.45,116.28,117.46,1016.674056,119418.53461775999
1647576000000,2022-03-18 04:00:00,COMP/USD,110.68,121.51,110.55,120.21,1319.530203,158620.72570263
1647489600000,2022-03-17 04:00:00,COMP/USD,110.34,116.7,108.41,110.68,2242.550344,248205.47207392004
1647403200000,2022-03-16 04:00:00,COMP/USD,103.52,112.8,103.52,110.34,1208.612882,133358.34539988
1647316800000,2022-03-15 04:00:00,COMP/USD,100.11,108.11,98.24,103.52,2020.006391,209111.06159631998
1647230400000,2022-03-14 04:00:00,COMP/USD,99.1,102.5,98.44,100.11,2376.047285,237866.09370135
1647144000000,2022-03-13 04:00:00,COMP/USD,103.3,109.0,98.09,99.1,1413.18515,140046.648365
1647057600000,2022-03-12 04:00:00,COMP/USD,102.63,104.83,101.11,103.3,87.006057,8987.7256881
1646971200000,2022-03-11 04:00:00,COMP/USD,101.37,104.12,100.1,102.63,483.563401,49628.111844629995
1646884800000,2022-03-10 04:00:00,COMP/USD,107.33,107.33,100.25,101.37,451.191725,45737.30516325001
1646798400000,2022-03-09 04:00:00,COMP/USD,109.98,110.71,107.26,107.33,267.83402,28746.6253666
1646712000000,2022-03-08 04:00:00,COMP/USD,103.76,112.51,103.76,109.98,886.219891,97466.46361218
1646625600000,2022-03-07 04:00:00,COMP/USD,99.24,106.25,97.95,103.76,720.392485,74747.9242436
1646539200000,2022-03-06 04:00:00,COMP/USD,107.78,108.19,98.33,99.24,319.037971,31661.328242040003
1646452800000,2022-03-05 04:00:00,COMP/USD,106.56,110.7,105.75,107.78,112.313976,12105.20033328
1646366400000,2022-03-04 04:00:00,COMP/USD,113.28,116.52,105.5,106.56,422.842915,45058.1410224
1646280000000,2022-03-03 04:00:00,COMP/USD,119.91,122.97,112.66,113.28,2187.428253,247791.87249984
1646193600000,2022-03-02 04:00:00,COMP/USD,126.62,126.62,118.72,119.91,215.467596,25836.71943636
