https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ONE,Volume USDT,tradecount
1644105600000,2022-02-06 00:00:00,ONE/USDT,0.19768000,0.21861000,0.19580000,0.21175000,340027342.20000000,71470490.10347900,168747
1644019200000,2022-02-05 00:00:00,ONE/USDT,0.19598000,0.20809000,0.19350000,0.19775000,270385959.80000000,54341013.91835600,130733
1643932800000,2022-02-04 00:00:00,ONE/USDT,0.17988000,0.19625000,0.17800000,0.19599000,291036972.60000000,54287495.91701000,141380
1643846400000,2022-02-03 00:00:00,ONE/USDT,0.17534000,0.18064000,0.17113000,0.18008000,192060424.10000000,33765363.18354600,103177
1643760000000,2022-02-02 00:00:00,ONE/USDT,0.18625000,0.19440000,0.17435000,0.17527000,230737999.20000000,42680086.01436400,114170
1643673600000,2022-02-01 00:00:00,ONE/USDT,0.18657000,0.19500000,0.18321000,0.18634000,242356074.80000000,45880043.50637400,114152
1643587200000,2022-01-31 00:00:00,ONE/USDT,0.18171000,0.19010000,0.17302000,0.18665000,234345793.20000000,42623697.77708400,116990
1643500800000,2022-01-30 00:00:00,ONE/USDT,0.18949000,0.19700000,0.17819000,0.18170000,244741078.00000000,46125978.38253200,114563
1643414400000,2022-01-29 00:00:00,ONE/USDT,0.18179000,0.19404000,0.18059000,0.18952000,218379329.10000000,40960580.60295500,108902
1643328000000,2022-01-28 00:00:00,ONE/USDT,0.17944000,0.18300000,0.17051000,0.18176000,258393726.80000000,45690300.46863300,131435
1643241600000,2022-01-27 00:00:00,ONE/USDT,0.18613000,0.19900000,0.17141000,0.17943000,388532695.10000000,70183073.50358400,190084
1643155200000,2022-01-26 00:00:00,ONE/USDT,0.19108000,0.21049000,0.18138000,0.18612000,509915150.30000000,99725339.07252500,254996
1643068800000,2022-01-25 00:00:00,ONE/USDT,0.19113000,0.19755000,0.17907000,0.19092000,423285429.40000000,80100585.69098000,207186
1642982400000,2022-01-24 00:00:00,ONE/USDT,0.20570000,0.20585000,0.16722000,0.19113000,554871273.90000000,101609130.05998300,261326
1642896000000,2022-01-23 00:00:00,ONE/USDT,0.19344000,0.22209000,0.18681000,0.20596000,485421839.30000000,98716144.84839100,250143
1642809600000,2022-01-22 00:00:00,ONE/USDT,0.21461000,0.21864000,0.16462000,0.19330000,758839603.80000000,144973047.16934000,377006
1642723200000,2022-01-21 00:00:00,ONE/USDT,0.26123000,0.26660000,0.20721000,0.21455000,537326667.20000000,128173450.92774600,322773
1642636800000,2022-01-20 00:00:00,ONE/USDT,0.28338000,0.30000000,0.25930000,0.26128000,328970927.40000000,93019796.28268400,213244
1642550400000,2022-01-19 00:00:00,ONE/USDT,0.31797000,0.32141000,0.28100000,0.28332000,328654261.80000000,97562297.31878100,218876
1642464000000,2022-01-18 00:00:00,ONE/USDT,0.31655000,0.33970000,0.30111000,0.31784000,439860640.60000000,140467344.82929700,290960
1642377600000,2022-01-17 00:00:00,ONE/USDT,0.35039000,0.35488000,0.30606000,0.31657000,366411395.80000000,120812470.40863700,252440
1642291200000,2022-01-16 00:00:00,ONE/USDT,0.33808000,0.35740000,0.32208000,0.35033000,400653473.80000000,137595180.30847100,259493
1642204800000,2022-01-15 00:00:00,ONE/USDT,0.35578000,0.35627000,0.33500000,0.33809000,291471320.10000000,100101976.83083300,196540
1642118400000,2022-01-14 00:00:00,ONE/USDT,0.34965000,0.37897000,0.34308000,0.35588000,606688064.50000000,219819479.24536700,414138
1642032000000,2022-01-13 00:00:00,ONE/USDT,0.34476000,0.36500000,0.33157000,0.34965000,634648456.60000000,222126279.81599300,426631
1641945600000,2022-01-12 00:00:00,ONE/USDT,0.30239000,0.34900000,0.30202000,0.34478000,487559503.00000000,158168287.79832200,344626
1641859200000,2022-01-11 00:00:00,ONE/USDT,0.27498000,0.30723000,0.27000000,0.30239000,352532372.30000000,101108780.35404500,244625
1641772800000,2022-01-10 00:00:00,ONE/USDT,0.29055000,0.29530000,0.25379000,0.27486000,480788758.80000000,131975303.47177100,312911
1641686400000,2022-01-09 00:00:00,ONE/USDT,0.30621000,0.32500000,0.28867000,0.29050000,419756099.70000000,127732129.38568200,262060
1641600000000,2022-01-08 00:00:00,ONE/USDT,0.30292000,0.33000000,0.28178000,0.30626000,576378368.20000000,178431089.79635900,378030
1641513600000,2022-01-07 00:00:00,ONE/USDT,0.30895000,0.32750000,0.27717000,0.30274000,806438884.70000000,247228783.66753000,565673
1641427200000,2022-01-06 00:00:00,ONE/USDT,0.27949000,0.31301000,0.26742000,0.30895000,465507009.40000000,133190176.56366400,332378
1641340800000,2022-01-05 00:00:00,ONE/USDT,0.30265000,0.32908000,0.25711000,0.27949000,466005710.50000000,139958262.25789500,348668
1641254400000,2022-01-04 00:00:00,ONE/USDT,0.31234000,0.33100000,0.30041000,0.30284000,436499466.70000000,137754130.69327300,330167
1641168000000,2022-01-03 00:00:00,ONE/USDT,0.29216000,0.31800000,0.28015000,0.31220000,458734075.70000000,134967849.08707700,315596
1641081600000,2022-01-02 00:00:00,ONE/USDT,0.26790000,0.29524000,0.26604000,0.29211000,443597120.60000000,123541745.25023200,309554
1640995200000,2022-01-01 00:00:00,ONE/USDT,0.23358000,0.26890000,0.23348000,0.26794000,235809417.10000000,59637609.71407200,145882
1640908800000,2021-12-31 00:00:00,ONE/USDT,0.22873000,0.24330000,0.22359000,0.23353000,153344741.50000000,35755742.47997500,99346
1640822400000,2021-12-30 00:00:00,ONE/USDT,0.22507000,0.23448000,0.21725000,0.22874000,121037680.00000000,27371891.86690800,78834
1640736000000,2021-12-29 00:00:00,ONE/USDT,0.23630000,0.24443000,0.22200000,0.22528000,164271446.00000000,38535031.56619700,105035
1640649600000,2021-12-28 00:00:00,ONE/USDT,0.26224000,0.26259000,0.23387000,0.23639000,243759576.30000000,60182633.68620700,159197
1640563200000,2021-12-27 00:00:00,ONE/USDT,0.26583000,0.28335000,0.26186000,0.26217000,184437684.80000000,50525323.31099900,138398
1640476800000,2021-12-26 00:00:00,ONE/USDT,0.25269000,0.27363000,0.24500000,0.26584000,260409940.50000000,68247032.83947700,192999
1640390400000,2021-12-25 00:00:00,ONE/USDT,0.24510000,0.25500000,0.24239000,0.25253000,117021680.30000000,29082921.48973300,80640
1640304000000,2021-12-24 00:00:00,ONE/USDT,0.25670000,0.26170000,0.23955000,0.24494000,204977877.80000000,51589249.33336900,142591
1640217600000,2021-12-23 00:00:00,ONE/USDT,0.24455000,0.26150000,0.23588000,0.25666000,269257909.30000000,66652425.09644700,163357
1640131200000,2021-12-22 00:00:00,ONE/USDT,0.23938000,0.26695000,0.23782000,0.24455000,334111544.60000000,85124732.58949600,214073
1640044800000,2021-12-21 00:00:00,ONE/USDT,0.23778000,0.25243000,0.23417000,0.23929000,303880672.80000000,73602201.61651400,194260
1639958400000,2021-12-20 00:00:00,ONE/USDT,0.24549000,0.25219000,0.20695000,0.23777000,574167443.40000000,131365762.07461700,344193
1639872000000,2021-12-19 00:00:00,ONE/USDT,0.20943000,0.24904000,0.20391000,0.24540000,424797233.20000000,97154615.71884000,255432
1639785600000,2021-12-18 00:00:00,ONE/USDT,0.20039000,0.21525000,0.19254000,0.20932000,183965933.40000000,37893713.47733900,105303
